fired_at,trade_date,regime,setup_type,origin_status,suppression_reason,direction,entry,fired_stop_distance_pt,fired_target_distance_pt,calib_stop_at_fire_pt,calib_target_at_fire_pt,calib_run_date,resolution,resolution_method,pnl_dollars_mnq,mae_points_stored,uncensored_mae_pt,uncensored_mfe_pt,uncensored_walk_bars_used,uncensored_walk_had_bars
2026-07-06 18:00:58.825221,2026-07-07,A_pre_optstopq_fix,PD_VAL_FADE_LONG,UNKNOWN,,LONG,29948.75,91.5,40.75,89,49,2026-07-05,STOP_HIT,PRICE_CLEAN,-184,96.75,332.75,25,390,true
2026-07-07 05:40:00,2026-07-07,A_pre_optstopq_fix,RTH_VWAP_FADE_SHORT,BACKFILL,,SHORT,29586.5,90,40,,,,TARGET_HIT,BACKFILL,79,7.5,129.5,376.5,390,true
2026-07-07 06:26:00,2026-07-07,A_pre_optstopq_fix,GLOBEX_VWAP_MAGNET_LONG,BACKFILL,,LONG,29264.5,30,20,,,,TARGET_HIT,BACKFILL,39,4.25,54.5,451.5,390,true
2026-07-07 06:35:00,2026-07-07,A_pre_optstopq_fix,GLOBEX_VWAP_MAGNET_LONG,BACKFILL,,LONG,29249.25,30,20,,,,TARGET_HIT,BACKFILL,39,8.5,39.25,466.75,390,true
2026-07-07 06:41:00,2026-07-07,A_pre_optstopq_fix,GLOBEX_VWAP_MAGNET_LONG,BACKFILL,,LONG,29226.5,30,20,,,,TARGET_HIT,BACKFILL,39,16.5,16.5,489.5,390,true
2026-07-07 06:43:00,2026-07-07,A_pre_optstopq_fix,GLOBEX_VWAP_MAGNET_LONG,BACKFILL,,LONG,29239,30,20,,,,TARGET_HIT,BACKFILL,39,12.75,29,477,390,true
2026-07-07 09:30:00,2026-07-07,A_pre_optstopq_fix,OR_HIGH_FADE_SHORT,UNKNOWN,,SHORT,29636.25,62,47,62,47,2026-07-06,TARGET_HIT,PRICE_CLEAN,93,25.5,25.5,426.25,390,true
2026-07-07 09:34:00,2026-07-07,A_pre_optstopq_fix,OR_LOW_FADE_LONG,UNKNOWN,,LONG,29532.5,74,38,74,38,2026-07-06,TARGET_HIT,PRICE_CLEAN,75,28.75,322.5,74.5,390,true
2026-07-07 09:36:00,2026-07-07,A_pre_optstopq_fix,ONL_FADE_LONG,BACKFILL,,LONG,29552.5,118.38000000000102,57.25,,,,STOP_HIT,BACKFILL,-237.76,131,342.5,54.5,390,true
2026-07-07 09:38:00,2026-07-07,A_pre_optstopq_fix,PM_VAL_FADE_LONG,BACKFILL,,LONG,29502.75,109.25,68.75,,,,TARGET_HIT,BACKFILL,136.5,11.5,292.75,104.25,390,true
