trade_date,bucket_time_approx,candidates_in_bucket,setup_types,origin_statuses,winner_setup_type
2026-07-07,2026-07-06 18:00:58.825221,1,"PD_VAL_FADE_LONG","UNKNOWN",(none)
2026-07-07,2026-07-07 05:40:00,1,"RTH_VWAP_FADE_SHORT","BACKFILL",(none)
2026-07-07,2026-07-07 06:26:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 06:35:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 06:41:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 06:43:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 09:30:00,1,"OR_HIGH_FADE_SHORT","UNKNOWN",(none)
2026-07-07,2026-07-07 09:34:00,1,"OR_LOW_FADE_LONG","UNKNOWN",(none)
2026-07-07,2026-07-07 09:36:00,1,"ONL_FADE_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 09:38:00,1,"PM_VAL_FADE_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 09:40:00,1,"DAILY_OPEN_FADE_SHORT","BACKFILL",(none)
2026-07-07,2026-07-07 09:53:00,1,"FLOOR_S3_FADE_LONG","BACKFILL",(none)
2026-07-07,2026-07-07 09:58:00,1,"IB_BEARISH","UNKNOWN",(none)
2026-07-07,2026-07-07 10:08:00,1,"STOP_SWEEP_LONG","UNKNOWN",(none)
2026-07-07,2026-07-07 10:25:00,2,"PW_LOW_FADE_LONG|IB_LOW_FADE_LONG","BACKFILL|UNKNOWN",(none)
2026-07-07,2026-07-07 10:40:00,1,"IB_LOW_FADE_SHORT","UNKNOWN",(none)
2026-07-07,2026-07-07 10:59:00,2,"A_DOWN_WEAK|C_PAIRED_SHORT","UNKNOWN|UNKNOWN",(none)
2026-07-07,2026-07-07 11:39:00,1,"C_PAIRED_SHORT","UNKNOWN",(none)
2026-07-07,2026-07-07 12:07:00,1,"STOP_SWEEP_LONG","UNKNOWN",(none)
2026-07-07,2026-07-07 12:13:00,1,"IB_MID_SCALP_FADE_SHORT","BACKFILL",(none)
2026-07-08,2026-07-07 14:04:00,1,"GLOBEX_VWAP_FADE_SHORT","BACKFILL",(none)
2026-07-08,2026-07-07 19:48:05.110205,1,"PD_VAL_FADE_LONG","UNKNOWN",(none)
2026-07-08,2026-07-08 00:30:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-08,2026-07-08 00:35:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-08,2026-07-08 00:37:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-08,2026-07-08 00:39:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
2026-07-08,2026-07-08 00:42:00,1,"GLOBEX_VWAP_MAGNET_LONG","BACKFILL",(none)
