Date,Entry_Time,Exit_Time,Direction,Level_Name,Level_Price,Entry_Price,Exit_Price,Result,PnL
2025-08-01,12:31:00,12:34:00,LONG,DAILY_OPEN,23087.5,23088.0,23077.0,STRUCTURAL_TRAILING_EXIT,-22.0
2025-08-01,13:26:00,13:31:00,LONG,OR5_MID,23048,23054.75,23040.75,STRUCTURAL_TRAILING_EXIT,-28.0
2025-08-01,13:35:00,13:37:00,LONG,FLOOR_S2,23026,23013.0,22985.5,STRUCTURAL_TRAILING_EXIT,-55.0
2025-08-04,13:57:00,14:04:00,LONG,3M_POC,23213.75,23217.5,23240.0,STRUCTURAL_TRAILING_EXIT,45.0
2025-08-04,14:51:00,15:01:00,LONG,3M_POC,23213.75,23216.75,23196.25,STRUCTURAL_TRAILING_EXIT,-41.0
2025-08-04,17:48:00,17:55:00,LONG,RTH_VWAP,23237.0022,23243.5,23265.25,STRUCTURAL_TRAILING_EXIT,43.5
2025-08-05,12:20:00,12:27:00,LONG,FLOOR_R1,23371.5,23371.0,23362.5,STRUCTURAL_TRAILING_EXIT,-17.0
2025-08-05,13:35:00,13:50:00,LONG,PD_HIGH,23307.25,23308.75,23381.25,STRUCTURAL_TRAILING_EXIT,145.0
2025-08-05,13:51:00,13:56:00,LONG,FLOOR_R1,23371.5,23368.5,23374.75,STRUCTURAL_TRAILING_EXIT,12.5
2025-08-06,13:37:00,13:40:00,LONG,CAM_R1,23159.75,23164.5,23160.75,STRUCTURAL_TRAILING_EXIT,-7.5
2025-08-06,13:40:00,13:41:00,LONG,CAM_R1,23159.75,23160.75,23149.0,STRUCTURAL_TRAILING_EXIT,-23.5
2025-08-06,13:50:00,13:51:00,LONG,CAM_R3,23211.75,23217.75,23194.75,STRUCTURAL_TRAILING_EXIT,-46.0
2025-08-07,13:37:00,13:43:00,LONG,CAM_R4,23588,23599.25,23608.5,STRUCTURAL_TRAILING_EXIT,18.5
2025-08-07,13:43:00,13:44:00,LONG,OR5_MID,23606.75,23608.5,23603.0,STRUCTURAL_TRAILING_EXIT,-11.0
2025-08-07,13:44:00,13:46:00,LONG,CAM_R4,23588,23603.0,23580.75,STRUCTURAL_TRAILING_EXIT,-44.5
2025-08-08,13:35:00,13:50:00,LONG,OR5_MID,23552.625,23546.75,23628.5,STRUCTURAL_TRAILING_EXIT,163.5
2025-08-08,14:02:00,14:07:00,SHORT,PW_VAH,23658.5,23650.0,23662.25,STRUCTURAL_TRAILING_EXIT,-24.5
2025-08-08,14:12:00,14:13:00,LONG,RTH_VWAP,23666.897,23655.5,23646.75,STRUCTURAL_TRAILING_EXIT,-17.5
2025-08-11,13:46:00,13:54:00,LONG,WEEKLY_VWAP,23713.4615,23717.5,23709.5,STRUCTURAL_TRAILING_EXIT,-16.0
2025-08-11,13:54:00,14:04:00,LONG,WEEKLY_VWAP,23713.4615,23709.5,23735.0,STRUCTURAL_TRAILING_EXIT,51.0
2025-08-11,14:48:00,14:49:00,LONG,PW_HIGH,23724,23730.25,23723.25,STRUCTURAL_TRAILING_EXIT,-14.0
2025-08-12,12:32:00,12:35:00,SHORT,PD_VAH,23765.5,23753.25,23758.25,STRUCTURAL_TRAILING_EXIT,-10.0
2025-08-12,12:41:00,12:48:00,SHORT,PD_HIGH,23804.5,23812.0,23794.25,STRUCTURAL_TRAILING_EXIT,35.5
2025-08-12,13:37:00,13:45:00,LONG,PD_VAH,23765.5,23763.25,23737.0,STRUCTURAL_TRAILING_EXIT,-52.5
2025-08-13,13:38:00,13:43:00,LONG,ONH,24046.75,24051.0,24038.75,STRUCTURAL_TRAILING_EXIT,-24.5
2025-08-13,13:43:00,13:46:00,LONG,ONH,24046.75,24038.75,24032.5,STRUCTURAL_TRAILING_EXIT,-12.5
2025-08-13,13:46:00,13:56:00,LONG,ONH,24046.75,24032.5,24016.25,STRUCTURAL_TRAILING_EXIT,-32.5
2025-08-14,12:31:00,12:34:00,LONG,MR1,23876.5,23863.25,23838.75,STRUCTURAL_TRAILING_EXIT,-49.0
2025-08-14,13:41:00,13:44:00,LONG,OR5_HIGH,23908,23900.25,23904.25,STRUCTURAL_TRAILING_EXIT,8.0
2025-08-14,13:54:00,13:55:00,LONG,PD_POC,23933,23932.25,23919.0,STRUCTURAL_TRAILING_EXIT,-26.5
2025-08-15,13:41:00,13:42:00,LONG,PD_LOW,23841.25,23851.5,23837.25,STRUCTURAL_TRAILING_EXIT,-28.5
2025-08-15,13:46:00,13:48:00,LONG,RTH_VWAP,23814.5765,23814.25,23805.75,STRUCTURAL_TRAILING_EXIT,-17.0
2025-08-15,13:48:00,13:49:00,LONG,RTH_VWAP,23814.5765,23805.75,23800.75,STRUCTURAL_TRAILING_EXIT,-10.0
2025-08-18,13:52:00,13:53:00,LONG,PW_VAL,23759.25,23752.0,23746.25,STRUCTURAL_TRAILING_EXIT,-11.5
2025-08-18,13:59:00,14:09:00,LONG,ONL,23739.5,23739.5,23767.75,STRUCTURAL_TRAILING_EXIT,56.5
2025-08-18,14:29:00,14:30:00,LONG,OR5_MID,23792.625,23787.75,23776.0,STRUCTURAL_TRAILING_EXIT,-23.5
2025-08-19,13:35:00,13:44:00,LONG,OR5_LOW,23660,23667.5,23711.25,STRUCTURAL_TRAILING_EXIT,87.5
2025-08-19,13:45:00,13:46:00,LONG,IB_MID,23696.75,23682.5,23663.0,STRUCTURAL_TRAILING_EXIT,-39.0
2025-08-19,13:46:00,13:47:00,LONG,OR5_LOW,23660,23663.0,23656.0,STRUCTURAL_TRAILING_EXIT,-14.0
2025-08-20,13:35:00,13:37:00,LONG,OR5_LOW,23362,23371.0,23366.5,STRUCTURAL_TRAILING_EXIT,-9.0
2025-08-20,13:40:00,13:41:00,LONG,OR5_LOW,23362,23358.75,23348.0,STRUCTURAL_TRAILING_EXIT,-21.5
2025-08-20,13:42:00,13:45:00,LONG,WS2,23340.25,23347.5,23322.5,STRUCTURAL_TRAILING_EXIT,-50.0
2025-08-21,13:35:00,13:41:00,LONG,PD_IB_MID,23247.75,23241.75,23244.25,STRUCTURAL_TRAILING_EXIT,5.0
2025-08-21,13:41:00,13:46:00,LONG,PD_IB_MID,23247.75,23244.25,23209.0,STRUCTURAL_TRAILING_EXIT,-70.5
2025-08-21,13:46:00,13:47:00,LONG,CAM_S3,23215.5,23209.0,23180.75,STRUCTURAL_TRAILING_EXIT,-56.5
2025-08-22,13:58:00,13:59:00,LONG,PD_VAH,23271,23260.0,23252.5,STRUCTURAL_TRAILING_EXIT,-15.0
2025-08-22,14:02:00,14:05:00,LONG,MONTHLY_VWAP,23488.6747,23481.0,23486.5,STRUCTURAL_TRAILING_EXIT,11.0
2025-08-22,14:12:00,14:18:00,LONG,RTH_VWAP,23536.5573,23543.25,23604.5,STRUCTURAL_TRAILING_EXIT,122.5
2025-08-25,13:41:00,13:45:00,LONG,FLOOR_PIVOT,23474,23478.75,23480.75,STRUCTURAL_TRAILING_EXIT,4.0
2025-08-25,13:45:00,13:46:00,LONG,FLOOR_PIVOT,23474,23480.75,23450.75,STRUCTURAL_TRAILING_EXIT,-60.0
2025-08-25,13:46:00,13:52:00,LONG,IB_LOW,23443.25,23450.75,23475.75,STRUCTURAL_TRAILING_EXIT,50.0
2025-08-26,00:04:00,00:08:00,LONG,WPP,23475.25,23463.25,23468.75,STRUCTURAL_TRAILING_EXIT,11.0
2025-08-26,13:39:00,13:44:00,LONG,WPP,23475.25,23472.25,23499.5,STRUCTURAL_TRAILING_EXIT,54.5
2025-08-26,13:45:00,13:46:00,LONG,MONTHLY_VWAP,23491.2151,23497.5,23484.5,STRUCTURAL_TRAILING_EXIT,-26.0
2025-08-27,13:43:00,13:46:00,LONG,OR5_LOW,23524,23532.5,23501.5,STRUCTURAL_TRAILING_EXIT,-62.0
2025-08-27,13:46:00,13:50:00,LONG,PD_IB_MID,23487.5,23501.5,23499.5,STRUCTURAL_TRAILING_EXIT,-4.0
2025-08-27,13:50:00,13:59:00,LONG,PD_IB_MID,23487.5,23499.5,23525.25,STRUCTURAL_TRAILING_EXIT,51.5
2025-08-28,12:32:00,12:39:00,SHORT,OR5_LOW,23629.75,23629.25,23629.5,STRUCTURAL_TRAILING_EXIT,-0.5
2025-08-28,13:35:00,13:36:00,LONG,IB_HIGH,23742.25,23728.75,23693.5,STRUCTURAL_TRAILING_EXIT,-70.5
2025-08-28,13:36:00,13:42:00,LONG,OR5_MID,23686,23693.5,23701.5,STRUCTURAL_TRAILING_EXIT,16.0
2025-08-29,13:40:00,13:44:00,LONG,WEEKLY_OPEN,23602,23596.25,23592.5,STRUCTURAL_TRAILING_EXIT,-7.5
2025-08-29,13:44:00,13:46:00,LONG,WEEKLY_OPEN,23602,23592.5,23565.5,STRUCTURAL_TRAILING_EXIT,-54.0
2025-08-29,13:46:00,13:47:00,LONG,PD_LOW,23572.5,23565.5,23555.0,STRUCTURAL_TRAILING_EXIT,-21.0
2025-09-02,12:55:00,13:00:00,LONG,DAILY_OPEN,23100.25,23095.5,23095.5,STRUCTURAL_TRAILING_EXIT,0.0
2025-09-02,13:40:00,13:48:00,LONG,PM_VAL,23119,23133.25,23147.5,STRUCTURAL_TRAILING_EXIT,28.5
2025-09-02,13:48:00,13:58:00,LONG,IB_MID,23152.625,23147.5,23233.75,STRUCTURAL_TRAILING_EXIT,172.5
2025-09-03,13:35:00,13:38:00,LONG,OR5_MID,23408.5,23397.75,23380.75,STRUCTURAL_TRAILING_EXIT,-34.0
2025-09-03,13:49:00,13:54:00,LONG,FLOOR_R1,23369.5,23373.0,23401.5,STRUCTURAL_TRAILING_EXIT,57.0
2025-09-03,13:56:00,14:06:00,LONG,FLOOR_R1,23369.5,23384.0,23428.5,STRUCTURAL_TRAILING_EXIT,89.0
2025-09-04,13:37:00,13:38:00,LONG,PD_HIGH,23525.25,23516.25,23501.25,STRUCTURAL_TRAILING_EXIT,-30.0
2025-09-04,13:38:00,13:39:00,LONG,OR5_MID,23497.625,23501.25,23482.0,STRUCTURAL_TRAILING_EXIT,-38.5
2025-09-04,13:39:00,13:42:00,LONG,PD_VAH,23469.5,23482.0,23470.25,STRUCTURAL_TRAILING_EXIT,-23.5
2025-09-05,12:31:00,12:38:00,LONG,FLOOR_R1,23761.25,23746.75,23830.5,STRUCTURAL_TRAILING_EXIT,167.5
2025-09-05,13:46:00,13:53:00,LONG,3M_VAH,23834,23842.0,23846.5,STRUCTURAL_TRAILING_EXIT,9.0
2025-09-05,13:53:00,13:56:00,LONG,3M_VAH,23834,23846.5,23836.25,STRUCTURAL_TRAILING_EXIT,-20.5
