date,type,direction,baseline_pnl,adx_pnl
2025-06-02,OR5_HIGH_SHORT,SHORT,58,58
2025-06-02,FLOOR_PIVOT_SHORT,SHORT,58,58
2025-06-02,5D_OR_MID_SHORT,SHORT,88,88
2025-06-02,PD_IB_HIGH_LONG,LONG,-122,-122
2025-06-02,PD_VAL_LONG,LONG,-122,-122
2025-06-02,2D_POC_LONG,LONG,-122,-122
2025-06-02,PD2_VAL_LONG,LONG,-122,-122
2025-06-02,PD_OR_MID_LONG,LONG,-122,-122
2025-06-02,FLOOR_S1_LONG,LONG,-122,-122
2025-06-02,PD_IB_MID_LONG,LONG,-122,-122
2025-06-02,OR5_LOW_LONG,LONG,-122,-122
2025-06-02,DAILY_OPEN_LONG,LONG,-122,-122
2025-06-02,WEEKLY_OPEN_LONG,LONG,-122,-122
2025-06-02,MONTHLY_OPEN_LONG,LONG,-122,-122
2025-06-02,PD_LOW_LONG,LONG,88,88
2025-06-02,PD_IB_LOW_LONG,LONG,88,88
2025-06-02,IB_HIGH_SHORT,SHORT,58,58
2025-06-02,PM_VAH_SHORT,SHORT,58,58
2025-06-02,3M_VAH_SHORT,SHORT,58,58
2025-06-02,M1_VAH_SHORT,SHORT,58,58
2025-06-02,PD2_VAH_SHORT,SHORT,-85,-85
2025-06-02,PD_POC_SHORT,SHORT,-54.5,-54.5
2025-06-02,PD_CLOSE_SHORT,SHORT,-22.5,-22.5
2025-06-02,PD_VAH_SHORT,SHORT,-20,-20
2025-06-02,PD_HIGH_SHORT,SHORT,58,58
2025-06-02,IB_BEARISH,SHORT,-430.3000000000029,-430.3000000000029
2025-06-02,TRT_SHORT,SHORT,-453,-453
2025-06-02,STOP_SWEEP_LONG,LONG,88,88
2025-06-02,STOP_SWEEP_LONG,LONG,88,88
2025-06-03,DAILY_OPEN_LONG,LONG,78,78
2025-06-03,3M_VAH_LONG,LONG,78,78
2025-06-03,M1_VAH_LONG,LONG,78,78
2025-06-03,OR5_LOW_SHORT,SHORT,-182,-182
2025-06-03,PD_LOW_LONG,LONG,118,118
2025-06-03,FLOOR_S1_SHORT,SHORT,-182,-182
2025-06-03,OR5_HIGH_SHORT,SHORT,-182,-182
2025-06-03,PD_VAL_SHORT,SHORT,78,78
2025-06-03,IB_HIGH_LONG,LONG,78,78
2025-06-03,FLOOR_PIVOT_SHORT,SHORT,-182,-182
2025-06-03,PW_HIGH_SHORT,SHORT,-182,-182
2025-06-03,PD_POC_SHORT,SHORT,78,78
2025-06-03,PD_CLOSE_SHORT,SHORT,78,78
2025-06-03,PD_VAH_SHORT,SHORT,78,78
2025-06-03,PD_HIGH_SHORT,SHORT,78,78
2025-06-03,IB_BULLISH,LONG,281,281
2025-06-03,OPEN_TEST_DRIVE_SHORT,SHORT,-214.22499999999854,-214.22499999999854
2025-06-03,TRT_SHORT,SHORT,-222.87999999999738,-222.87999999999738
2025-06-03,STOP_SWEEP_SHORT,SHORT,-32,-32
2025-06-03,STOP_SWEEP_LONG,LONG,-32,-32
2025-06-04,PD_POC_SHORT,SHORT,78,78
2025-06-04,PD_CLOSE_SHORT,SHORT,78,78
2025-06-04,OR5_HIGH_SHORT,SHORT,78,78
2025-06-04,PD_VAH_SHORT,SHORT,78,78
