date,session,swing_width,type,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2026-06-19,RTH,3,HIGH,2,0.62,-2.8257,-2.5228,-1.0175,-0.2298,-1.9927,-2.8450,-6.0850,1,30686.75,30678.25,30902.56,31075.63,0,0,1,1,0,-8.50,-8.50,-19.00,-19.00
2026-06-19,RTH,5,HIGH,2,0.65,-2.8257,-2.5122,-1.0175,-0.2298,-1.9927,-2.8332,-6.0732,1,30686.75,30678.25,30902.56,31075.63,0,0,1,1,0,-8.50,-8.50,-19.00,-19.00
2026-07-03,RTH,3,LOW,7,0.13,-2.2243,-2.2344,-1.6829,-0.2305,-1.6302,-2.5237,-6.0673,1,29911.50,29913.75,29641.64,29425.24,0,0,1,1,0,-2.25,-2.25,-6.50,-6.50
2026-07-03,RTH,3,HIGH,4,0.15,-2.2947,-2.2265,-1.4434,-0.2305,-1.6727,-2.5150,-5.8615,1,29940.00,29934.75,30209.86,30426.26,0,0,1,1,0,-5.25,-5.25,-12.50,-12.50
2026-07-05,RTH,5,HIGH,4,0.28,-2.2364,-2.1982,-1.4434,-0.2303,-1.6375,-2.4834,-5.7946,1,29945.25,29944.00,30193.26,30392.14,0,0,1,1,0,-1.25,-1.25,-4.50,-4.50
2026-09-07,RTH,3,LOW,1,0.23,-3.5086,-2.3601,-0.4851,-0.2304,-2.4045,-2.6638,-5.7837,1,29603.00,29604.00,29490.01,29399.40,0,0,1,1,0,-1.00,-1.00,-4.00,-4.00
2026-07-05,RTH,3,HIGH,4,0.25,-2.2364,-2.1640,-1.4434,-0.2303,-1.6375,-2.4453,-5.7565,1,29945.25,29944.00,30193.26,30392.14,0,0,1,1,0,-1.25,-1.25,-4.50,-4.50
2026-07-05,RTH,3,HIGH,4,0.22,-2.3349,-2.0848,-1.4434,-0.2304,-1.6969,-2.3571,-5.7278,1,29956.25,29946.25,30204.26,30403.14,0,0,1,1,0,-10.00,-10.00,-22.00,-22.00
2026-07-03,RTH,3,LOW,7,0.22,-1.7659,-2.1698,-1.6829,-0.2304,-1.3538,-2.4518,-5.7189,1,29911.50,29913.75,29641.64,29425.24,0,0,1,1,0,-2.25,-2.25,-6.50,-6.50
2026-07-05,RTH,5,HIGH,4,0.35,-2.3349,-2.0542,-1.4434,-0.2302,-1.6969,-2.3230,-5.6935,1,29956.25,29946.25,30204.26,30403.14,0,0,1,1,0,-10.00,-10.00,-22.00,-22.00
