date,session,swing_width,type,target_type,entry,stop,target,hit_target,hit_stop,time_exit,pnl_pts,pnl_usd
2025-10-07,RTH,3,SHORT,P50,25325.00,25368.00,25302.96,1,0,0,22.04,42.09
2025-10-07,RTH,5,SHORT,P50,25325.00,25368.00,25302.96,1,0,0,22.04,42.09
2025-10-15,RTH,3,LONG,P50,25211.00,25179.50,25239.18,1,0,0,28.18,54.37
2025-10-15,RTH,5,LONG,P50,25211.00,25179.50,25239.18,1,0,0,28.18,54.37
2025-10-21,RTH,3,SHORT,P50,25535.00,25539.50,25501.87,1,0,0,33.13,64.26
2025-10-21,RTH,5,SHORT,P50,25535.00,25539.50,25501.87,1,0,0,33.13,64.26
2025-10-28,GLOBEX,3,LONG,P50,26275.00,26249.00,26309.37,1,0,0,34.37,66.74
2025-10-28,GLOBEX,5,LONG,P50,26275.00,26249.00,26309.37,1,0,0,34.37,66.74
2025-10-31,GLOBEX,3,SHORT,P50,26359.75,26386.00,26324.44,0,1,0,-26.25,-54.50
2025-10-31,GLOBEX,5,SHORT,P50,26359.75,26386.00,26324.44,0,1,0,-26.25,-54.50
2025-11-05,RTH,3,LONG,P50,26081.75,26056.00,26118.52,1,0,0,36.77,71.54
2025-11-05,RTH,5,LONG,P50,26081.75,26056.00,26118.52,1,0,0,36.77,71.54
2025-11-12,GLOBEX,3,LONG,P50,26041.00,26029.25,26075.78,1,0,0,34.78,67.57
2025-11-12,GLOBEX,5,LONG,P50,26041.00,26029.25,26075.78,1,0,0,34.78,67.57
2025-11-13,RTH,3,SHORT,P50,25694.25,25762.75,25660.48,1,0,0,33.77,65.55
2025-11-13,RTH,5,SHORT,P50,25694.25,25762.75,25660.48,1,0,0,33.77,65.55
2025-11-19,GLOBEX,3,LONG,P50,24949.75,24897.00,24988.27,1,0,0,38.52,75.05
2025-11-19,GLOBEX,5,LONG,P50,24949.75,24897.00,24988.27,1,0,0,38.52,75.05
2025-11-19,RTH,3,LONG,P50,25108.75,25068.25,25147.27,1,0,0,38.52,75.05
2025-11-19,RTH,5,LONG,P50,25108.75,25068.25,25147.27,1,0,0,38.52,75.05
2025-11-19,GLOBEX,3,LONG,P50,25096.50,25085.25,25135.02,1,0,0,38.52,75.05
2025-11-20,GLOBEX,3,SHORT,P50,25059.50,25094.75,25020.98,0,1,0,-35.25,-72.50
2025-11-25,GLOBEX,3,LONG,P50,25032.50,24984.25,25079.35,0,1,0,-48.25,-98.50
2025-11-25,GLOBEX,5,LONG,P50,25032.50,24984.25,25079.35,0,1,0,-48.25,-98.50
2025-12-01,GLOBEX,3,SHORT,P50,25270.75,25285.00,25223.76,0,1,0,-14.25,-30.50
2025-12-01,GLOBEX,5,SHORT,P50,25270.75,25285.00,25223.76,0,1,0,-14.25,-30.50
2025-12-02,GLOBEX,3,LONG,P50,25426.75,25400.75,25473.63,1,0,0,46.88,91.77
2025-12-03,RTH,3,SHORT,P50,25475.50,25538.00,25428.60,0,1,0,-62.50,-127.00
2025-12-03,RTH,5,SHORT,P50,25475.50,25538.00,25428.60,0,1,0,-62.50,-127.00
2025-12-03,GLOBEX,3,SHORT,P50,25535.25,25574.50,25488.35,0,1,0,-39.25,-80.50
2025-12-03,GLOBEX,5,SHORT,P50,25535.25,25574.50,25488.35,0,1,0,-39.25,-80.50
2025-12-04,GLOBEX,3,LONG,P50,25661.25,25650.00,25707.63,0,1,0,-11.25,-24.50
2025-12-04,RTH,3,LONG,P50,25687.00,25673.75,25733.38,0,1,0,-13.25,-28.50
2025-12-04,GLOBEX,3,SHORT,P50,25584.50,25642.75,25538.12,1,0,0,46.38,90.77
2025-12-04,GLOBEX,5,SHORT,P50,25584.50,25642.75,25538.12,1,0,0,46.38,90.77
2025-12-08,RTH,3,LONG,P50,25786.00,25768.25,25830.25,0,1,0,-17.75,-37.50
2025-12-08,RTH,5,LONG,P50,25786.00,25768.25,25830.25,0,1,0,-17.75,-37.50
2025-12-08,RTH,3,LONG,P50,25772.25,25762.50,25816.50,1,0,0,44.25,86.50
2025-12-08,RTH,5,LONG,P50,25772.25,25762.50,25816.50,1,0,0,44.25,86.50
