streakMin,volLabel,stopType,targetMult,holdMin,N,WR,EV,stopPct,targetPct,clustering
3,HIGH_VOL,1.5xATR,1.5,120,2136,49.67,6.49,0.19,0.89,8.57
2,ANY_VOL,0.75xATR,1.5,120,6085,50.93,5.97,2.96,0.41,5.85
3,HIGH_VOL,0.75xATR,1.5,120,2136,49.67,5.88,4.78,0.89,8.57
2,ANY_VOL,1.5xATR,1.5,120,6085,50.93,5.35,0.21,0.41,5.85
3,ANY_VOL,0.75xATR,1.5,120,4413,50.87,5.15,3.22,0.50,6.03
2,HIGH_VOL,1.5xATR,1.5,120,2929,49.95,5.05,0.24,0.75,8.54
3,HIGH_VOL,ZONE,1.5,120,2136,44.38,4.99,34.69,0.84,8.57
1,HIGH_VOL,1.5xATR,1.5,120,4002,49.90,4.91,0.25,0.77,8.67
2,HIGH_VOL,0.75xATR,1.5,120,2929,49.95,4.84,4.40,0.75,8.54
1,HIGH_VOL,0.75xATR,1.5,120,4002,49.90,4.82,4.22,0.77,8.67
1,HIGH_VOL,ZONE,1.5,120,4002,44.48,4.77,35.18,0.75,8.67
3,ANY_VOL,1.5xATR,1.5,120,4413,50.87,4.60,0.20,0.50,6.03
2,ANY_VOL,0.75xATR,1,120,6085,50.93,4.51,2.96,1.56,5.85
1,ANY_VOL,0.75xATR,1.5,120,8253,50.75,4.25,2.94,0.44,6.20
2,ANY_VOL,0.75xATR,0.75,120,6085,50.98,4.00,2.96,3.45,5.85
2,HIGH_VOL,ZONE,1.5,120,2929,44.45,3.97,34.62,0.72,8.54
2,ANY_VOL,1.5xATR,1,120,6085,50.93,3.89,0.21,1.56,5.85
2,ANY_VOL,0.75xATR,0.5,120,6085,51.47,3.76,2.96,10.07,5.85
1,ANY_VOL,1.5xATR,1.5,120,8253,50.77,3.71,0.22,0.44,6.20
3,ANY_VOL,0.75xATR,1,120,4413,50.87,3.40,3.22,1.72,6.03
2,ANY_VOL,1.5xATR,0.75,120,6085,50.98,3.38,0.21,3.45,5.85
2,ANY_VOL,1.5xATR,0.5,120,6085,51.47,3.14,0.21,10.07,5.85
1,HIGH_VOL,0.75xATR,1.5,240,4002,49.28,3.06,8.07,1.95,8.67
3,ANY_VOL,0.75xATR,0.75,120,4413,50.92,2.94,3.22,3.78,6.03
3,HIGH_VOL,1.5xATR,1,120,2136,49.67,2.92,0.19,2.62,8.57
3,ANY_VOL,1.5xATR,1,120,4413,50.87,2.84,0.20,1.72,6.03
1,ANY_VOL,0.75xATR,1,120,8253,50.75,2.69,2.94,1.55,6.20
1,ANY_VOL,0.75xATR,1.5,240,8253,50.05,2.62,6.57,1.07,6.20
2,ANY_VOL,0.75xATR,1.5,240,6085,49.93,2.46,6.44,1.12,5.85
1,HIGH_VOL,ZONE,0.5,120,4002,45.58,2.43,35.11,12.29,8.67
3,ANY_VOL,1.5xATR,0.75,120,4413,50.92,2.39,0.20,3.78,6.03
3,HIGH_VOL,0.75xATR,1,120,2136,49.67,2.31,4.78,2.62,8.57
1,HIGH_VOL,ZONE,1.5,240,4002,38.83,2.30,47.85,1.70,8.67
3,HIGH_VOL,1.5xATR,0.75,120,2136,49.77,2.29,0.19,5.38,8.57
1,ANY_VOL,0.75xATR,0.75,120,8253,50.82,2.19,2.94,3.32,6.20
3,ANY_VOL,ZONE,1.5,120,4413,43.76,2.16,38.75,0.48,6.03
1,ANY_VOL,1.5xATR,1,120,8253,50.77,2.16,0.22,1.55,6.20
3,ANY_VOL,0.75xATR,0.5,120,4413,51.33,2.12,3.22,10.11,6.03
2,HIGH_VOL,1.5xATR,1,120,2929,49.95,2.10,0.24,2.32,8.54
2,HIGH_VOL,ZONE,0.5,120,2929,45.58,2.08,34.55,12.36,8.54
2,ANY_VOL,ZONE,1.5,120,6085,43.66,2.02,38.42,0.39,5.85
1,ANY_VOL,0.75xATR,0.5,120,8253,51.30,1.97,2.94,9.90,6.20
1,HIGH_VOL,ZONE,1,120,4002,44.48,1.95,35.18,2.10,8.67
2,HIGH_VOL,0.75xATR,1.5,240,2929,48.86,1.93,8.13,2.05,8.54
2,HIGH_VOL,1.5xATR,0.5,120,2929,51.04,1.92,0.24,13.42,8.54
2,HIGH_VOL,0.75xATR,1,120,2929,49.95,1.89,4.40,2.32,8.54
1,HIGH_VOL,1.5xATR,1,120,4002,49.90,1.85,0.25,2.30,8.67
3,HIGH_VOL,ZONE,1,120,2136,44.38,1.84,34.69,2.29,8.57
3,HIGH_VOL,ZONE,0.5,120,2136,45.32,1.79,34.64,12.31,8.57
