levelName,direction,setupType,calSource,delayMin,N,targetPct,stopPct,nonePct,avgExtraMfe,distinctDates
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",0,126,45.24,54.76,0.00,112.73,126
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",5,75,40.00,60.00,0.00,118.24,75
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",10,102,37.25,62.75,0.00,100.17,102
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",15,107,42.99,57.01,0.00,146.99,107
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",20,110,39.09,60.91,0.00,143.38,110
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",25,113,41.59,58.41,0.00,132.76,113
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",30,118,35.59,64.41,0.00,152.30,118
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",35,119,29.41,69.75,0.84,150.10,119
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",40,120,37.50,61.67,0.83,145.04,120
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",45,122,31.97,67.21,0.82,113.21,122
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",50,122,36.07,63.11,0.82,109.33,122
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",55,122,39.34,59.84,0.82,105.13,122
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",60,123,40.65,56.91,2.44,124.71,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",65,123,37.40,60.16,2.44,133.55,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",70,123,39.84,57.72,2.44,122.61,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",75,123,37.40,58.54,4.07,118.80,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",80,123,34.15,61.79,4.07,106.77,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",85,123,28.46,67.48,4.07,98.76,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",90,123,34.15,61.79,4.07,111.23,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",95,123,37.40,58.54,4.07,85.71,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",100,123,25.20,69.92,4.88,128.08,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",105,123,31.71,63.41,4.88,119.92,123
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",110,123,30.89,65.04,4.07,117.28,123
