swing_width,type,pivot_date,pivot_month,pivot_session,confluence_bucket,touchVolZ,breakVolZ,dormancy_hours,dormancy_bucket,broken,mfe_pts,mfe_atr,break_date,break_month
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.6800,-0.4448,1.58,MEDIUM,1,136.2500,0.5768,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.8694,-0.3976,1.62,MEDIUM,1,15.5000,0.0656,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.1039,-0.5233,0.27,SHORT,1,130.7500,0.5536,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.0564,-0.1706,0.37,MEDIUM,1,19.2500,0.0815,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.1911,-0.5742,2.00,MEDIUM,1,142.0000,0.6012,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,0.8301,-0.3046,0.13,SHORT,1,15.5000,0.0656,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.3720,-0.3331,0.17,SHORT,1,138.7500,0.5874,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,0.3045,-0.5143,0.20,SHORT,1,17.0000,0.0720,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.4117,-0.4585,0.18,SHORT,1,17.0000,0.0720,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.2787,-0.4730,0.35,MEDIUM,1,141.0000,0.5970,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.0599,-0.4307,0.18,SHORT,1,17.0000,0.0720,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.3831,-0.3931,0.13,SHORT,1,142.0000,0.6012,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.6743,-0.4564,2.18,MEDIUM,1,4.2500,0.0180,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.2551,-0.4385,2.85,LONG,1,148.0000,0.6266,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.4095,-0.1187,0.12,SHORT,1,148.0000,0.6266,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,0.1508,-0.4637,3.23,LONG,1,88.7500,0.3893,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.4064,-0.4776,31.58,LONG,1,161.7500,0.6848,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.4395,-0.3846,0.15,SHORT,1,88.7500,0.3893,2025-09-10,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,0.2083,-0.3551,0.75,MEDIUM,1,1.7500,0.0074,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.4610,-0.5545,0.73,MEDIUM,1,152.5000,0.6456,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.2658,-0.6169,0.23,SHORT,1,0.7500,0.0032,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,2+,-0.7823,-0.5693,0.15,SHORT,1,153.2500,0.6488,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.5443,-0.5633,0.15,SHORT,1,152.5000,0.6456,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.5756,-0.5396,1.12,MEDIUM,1,6.5000,0.0275,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.3603,-0.5645,1.05,MEDIUM,1,146.5000,0.6202,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.5091,-0.4973,0.17,SHORT,1,8.5000,0.0360,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.4515,-0.5182,0.18,SHORT,1,146.5000,0.6202,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.2420,-0.6470,0.15,SHORT,1,142.0000,0.6012,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.5994,-0.5211,0.13,SHORT,1,142.0000,0.6012,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.5597,-0.4844,0.40,MEDIUM,1,11.5000,0.0487,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.4601,-0.4901,0.17,SHORT,1,142.0000,0.6012,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.4931,-0.4339,0.48,MEDIUM,1,8.5000,0.0360,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.4637,-0.4328,0.13,SHORT,1,142.0000,0.6012,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.1964,-0.4631,0.15,SHORT,1,6.5000,0.0275,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.2434,-0.5321,0.18,SHORT,1,1.7500,0.0074,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.8640,-0.6084,0.95,MEDIUM,1,152.5000,0.6456,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.3112,-0.6379,0.17,SHORT,1,92.7500,0.4068,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,2+,-0.5036,-0.6607,1.15,MEDIUM,1,159.0000,0.6732,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,2+,-0.5068,-0.5738,0.20,SHORT,1,92.7500,0.4068,2025-09-10,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.9528,-0.3823,0.18,SHORT,1,92.7500,0.4068,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.9621,-0.4609,2.70,LONG,1,138.7500,0.5874,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.4560,-0.4544,1.03,MEDIUM,1,104.2500,0.4572,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.3355,-0.4191,0.27,SHORT,1,138.7500,0.5874,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.5549,-0.3660,0.20,SHORT,1,109.0000,0.4781,2025-09-10,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.3082,-0.3955,0.12,SHORT,1,15.2500,0.0646,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.3369,-0.4655,0.22,SHORT,1,134.7500,0.5705,2025-09-09,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.2761,-0.4901,0.22,SHORT,1,140.7500,0.5959,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,0,-0.5037,-0.4628,0.30,SHORT,1,109.0000,0.4781,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.3121,-0.4880,0.15,SHORT,1,139.0000,0.5885,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.4644,-0.5957,0.17,SHORT,1,109.0000,0.4781,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,1,-0.4802,-0.6112,0.17,SHORT,1,134.7500,0.5705,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.5033,-0.4688,0.17,SHORT,1,116.5000,0.5110,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,-0.8369,-0.2402,0.12,SHORT,1,134.7500,0.5705,2025-09-09,2025-09
3,LOW,2025-09-09,2025-09,GLOBEX,1,-0.4229,-0.2089,0.12,SHORT,1,109.0000,0.4781,2025-09-10,2025-09
3,HIGH,2025-09-09,2025-09,GLOBEX,0,0.8195,-0.4373,5.88,LONG,1,126.2500,0.5345,2025-09-09,2025-09
