swing_width,type,pivot_date,pivot_session,touchVolZ,touchVolZBucket,breakVolZ,breakVolZBucket,confluenceCount,retest_date,retest_session,rxn_3,rxn_6,rxn_12,rxn_24
3,HIGH,2026-09-07,RTH,-2.7039,NORMAL_LOW,-3.0563,NORMAL_LOW,0,2026-09-07,RTH,1.2500,-5.7500,-4.0000,2.7500
5,LOW,2026-09-07,GLOBEX,-2.0525,NORMAL_LOW,-2.9796,NORMAL_LOW,1,2026-09-07,RTH,0.5000,13.0000,18.7500,26.7500
3,HIGH,2026-09-07,GLOBEX,-1.4605,NORMAL_LOW,-2.8135,NORMAL_LOW,2+,2026-09-07,RTH,7.2500,10.2500,13.5000,32.0000
5,HIGH,2026-09-07,RTH,-2.7039,NORMAL_LOW,-2.8126,NORMAL_LOW,0,2026-09-07,RTH,1.2500,-5.7500,-4.0000,2.7500
3,LOW,2026-09-07,GLOBEX,-2.0525,NORMAL_LOW,-2.7895,NORMAL_LOW,1,2026-09-07,RTH,0.5000,13.0000,18.7500,26.7500
3,LOW,2026-05-25,GLOBEX,-1.4222,NORMAL_LOW,-2.6598,NORMAL_LOW,2+,2026-05-25,GLOBEX,3.2500,21.7500,33.2500,42.0000
3,LOW,2026-05-25,GLOBEX,-1.3325,NORMAL_LOW,-2.5446,NORMAL_LOW,2+,2026-05-25,RTH,-17.0000,-14.5000,-31.2500,-16.5000
3,HIGH,2026-06-19,RTH,-2.8257,NORMAL_LOW,-2.5228,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
5,HIGH,2026-06-19,RTH,-2.8257,NORMAL_LOW,-2.5122,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
5,LOW,2026-05-25,GLOBEX,-1.3325,NORMAL_LOW,-2.4982,NORMAL_LOW,2+,2026-05-25,RTH,-17.0000,-14.5000,-31.2500,-16.5000
3,LOW,2026-06-19,GLOBEX,-1.4309,NORMAL_LOW,-2.4829,NORMAL_LOW,2+,2026-06-19,RTH,18.7500,22.5000,26.0000,38.5000
3,HIGH,2026-09-07,RTH,-2.3854,NORMAL_LOW,-2.4761,NORMAL_LOW,1,2026-09-07,RTH,7.2500,10.2500,13.5000,32.0000
3,LOW,2026-09-07,RTH,-2.4483,NORMAL_LOW,-2.4392,NORMAL_LOW,1,2026-09-07,RTH,19.7500,-3.2500,-4.0000,-6.2500
5,HIGH,2026-09-07,RTH,-2.3854,NORMAL_LOW,-2.4366,NORMAL_LOW,1,2026-09-07,RTH,7.2500,10.2500,13.5000,32.0000
3,HIGH,2026-06-19,GLOBEX,-1.7402,NORMAL_LOW,-2.4042,NORMAL_LOW,2+,2026-06-21,GLOBEX,-5.7500,32.0000,92.2500,41.7500
3,HIGH,2026-09-07,RTH,-2.8006,NORMAL_LOW,-2.3737,NORMAL_LOW,1,2026-09-07,RTH,-0.5000,2.0000,6.5000,-1.7500
5,HIGH,2026-09-07,RTH,-2.0125,NORMAL_LOW,-2.3700,NORMAL_LOW,1,2026-09-07,RTH,4.7500,5.0000,10.0000,26.2500
3,LOW,2026-09-07,RTH,-3.5086,NORMAL_LOW,-2.3601,NORMAL_LOW,1,2026-09-07,RTH,3.0000,4.2500,0.5000,-2.5000
3,HIGH,2026-09-07,RTH,-2.0125,NORMAL_LOW,-2.3549,NORMAL_LOW,1,2026-09-07,RTH,4.7500,5.0000,10.0000,26.2500
3,LOW,2026-06-19,RTH,-2.4955,NORMAL_LOW,-2.3250,NORMAL_LOW,2+,2026-06-21,GLOBEX,21.7500,47.0000,-82.7500,-19.5000
5,HIGH,2026-09-07,RTH,-2.8006,NORMAL_LOW,-2.3248,NORMAL_LOW,1,2026-09-07,RTH,-0.5000,2.0000,6.5000,-1.7500
5,LOW,2026-09-07,RTH,-3.5086,NORMAL_LOW,-2.2780,NORMAL_LOW,1,2026-09-07,RTH,3.0000,4.2500,0.5000,-2.5000
3,HIGH,2026-06-19,RTH,-1.4195,NORMAL_LOW,-2.2478,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
3,HIGH,2026-07-03,RTH,-2.3354,NORMAL_LOW,-2.2409,NORMAL_LOW,2+,2026-07-05,GLOBEX,-13.0000,-23.0000,-43.0000,-58.0000
5,LOW,2026-09-07,RTH,-2.2942,NORMAL_LOW,-2.2396,NORMAL_LOW,0,2026-09-07,RTH,-3.2500,-2.0000,-6.5000,19.0000
3,HIGH,2026-09-07,RTH,-1.9459,NORMAL_LOW,-2.2396,NORMAL_LOW,0,2026-09-07,RTH,5.0000,7.5000,16.2500,1.7500
3,LOW,2026-07-03,RTH,-2.2243,NORMAL_LOW,-2.2344,NORMAL_LOW,2+,2026-07-03,RTH,-7.2500,-14.7500,-14.5000,-7.7500
3,HIGH,2026-05-25,RTH,-2.0761,NORMAL_LOW,-2.2300,NORMAL_LOW,1,2026-05-25,RTH,10.7500,9.2500,9.2500,-24.5000
3,HIGH,2026-07-03,RTH,-2.2947,NORMAL_LOW,-2.2265,NORMAL_LOW,2+,2026-07-06,GLOBEX,-2.5000,-3.5000,13.7500,-3.2500
3,LOW,2026-06-19,RTH,-2.3719,NORMAL_LOW,-2.2197,NORMAL_LOW,2+,2026-06-19,RTH,-51.7500,-46.0000,-120.7500,-94.7500
5,LOW,2026-06-19,RTH,-2.3719,NORMAL_LOW,-2.2059,NORMAL_LOW,2+,2026-06-19,RTH,-51.7500,-46.0000,-120.7500,-94.7500
3,HIGH,2026-06-19,RTH,-2.1036,NORMAL_LOW,-2.2059,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
3,LOW,2026-09-07,RTH,-1.9322,NORMAL_LOW,-2.2011,NORMAL_LOW,2+,2026-09-07,RTH,20.0000,12.7500,19.2500,-12.2500
5,HIGH,2026-07-03,RTH,-2.2364,NORMAL_LOW,-2.1982,NORMAL_LOW,2+,2026-07-05,GLOBEX,-14.7500,27.2500,58.5000,24.2500
3,HIGH,2025-09-16,RTH,-1.7943,NORMAL_LOW,-2.1971,NORMAL_LOW,1,2025-09-16,GLOBEX,2.2500,2.2500,1.0000,-1.5000
5,LOW,2026-06-19,RTH,-2.4955,NORMAL_LOW,-2.1833,NORMAL_LOW,2+,2026-06-21,GLOBEX,21.7500,47.0000,-82.7500,-19.5000
3,LOW,2026-07-03,RTH,-1.7659,NORMAL_LOW,-2.1698,NORMAL_LOW,2+,2026-07-03,RTH,13.0000,22.0000,3.5000,-9.0000
3,LOW,2026-05-25,RTH,-2.0283,NORMAL_LOW,-2.1673,NORMAL_LOW,2+,2026-05-25,RTH,-2.7500,-14.0000,-13.7500,-38.2500
3,HIGH,2026-07-03,RTH,-2.2364,NORMAL_LOW,-2.1640,NORMAL_LOW,2+,2026-07-05,GLOBEX,-14.7500,27.2500,58.5000,24.2500
3,LOW,2026-05-25,RTH,-1.7708,NORMAL_LOW,-2.1638,NORMAL_LOW,1,2026-05-25,RTH,-11.2500,-23.7500,-29.2500,-42.7500
3,HIGH,2026-05-25,RTH,-2.2685,NORMAL_LOW,-2.1581,NORMAL_LOW,1,2026-05-25,RTH,-15.2500,-4.2500,2.5000,20.0000
5,HIGH,2026-06-19,RTH,-2.1036,NORMAL_LOW,-2.1534,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
3,HIGH,2026-09-07,RTH,-2.5383,NORMAL_LOW,-2.1509,NORMAL_LOW,1,2026-09-07,RTH,2.0000,-4.2500,4.2500,0.5000
5,LOW,2026-09-07,RTH,-1.9322,NORMAL_LOW,-2.1509,NORMAL_LOW,2+,2026-09-07,RTH,20.0000,12.7500,19.2500,-12.2500
3,LOW,2026-09-07,RTH,-2.4081,NORMAL_LOW,-2.1293,NORMAL_LOW,1,2026-09-07,RTH,2.7500,8.2500,3.0000,-2.5000
3,LOW,2026-07-03,GLOBEX,-1.0475,NORMAL_LOW,-2.1245,NORMAL_LOW,2+,2026-07-03,RTH,-3.0000,8.0000,11.0000,4.5000
3,HIGH,2026-09-07,RTH,-1.7881,NORMAL_LOW,-2.1244,NORMAL_LOW,2+,2026-09-07,GLOBEX,6.0000,-3.2500,-24.0000,-22.0000
5,HIGH,2025-09-16,RTH,-1.7943,NORMAL_LOW,-2.1050,NORMAL_LOW,1,2025-09-16,GLOBEX,2.2500,2.2500,1.0000,-1.5000
5,HIGH,2026-07-03,RTH,-2.3354,NORMAL_LOW,-2.1005,NORMAL_LOW,2+,2026-07-05,GLOBEX,-13.0000,-23.0000,-43.0000,-58.0000
5,LOW,2025-09-18,RTH,-1.7482,NORMAL_LOW,-2.0994,NORMAL_LOW,1,2025-09-18,GLOBEX,6.2500,7.5000,-1.7500,4.5000
5,HIGH,2026-06-19,RTH,-1.4195,NORMAL_LOW,-2.0990,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
3,HIGH,2026-06-19,RTH,-2.3972,NORMAL_LOW,-2.0976,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
3,LOW,2026-09-07,RTH,-2.0704,NORMAL_LOW,-2.0962,NORMAL_LOW,2+,2026-09-07,RTH,20.0000,12.7500,19.2500,-12.2500
5,LOW,2026-09-07,RTH,-1.6475,NORMAL_LOW,-2.0926,NORMAL_LOW,2+,2026-09-07,RTH,-1.2500,-3.2500,-5.2500,-3.5000
5,LOW,2026-07-03,RTH,-2.3713,NORMAL_LOW,-2.0903,NORMAL_LOW,2+,2026-07-03,RTH,-3.0000,8.0000,11.0000,4.5000
3,HIGH,2026-07-03,RTH,-2.3349,NORMAL_LOW,-2.0848,NORMAL_LOW,2+,2026-07-05,GLOBEX,-1.2500,55.5000,56.0000,40.7500
5,LOW,2026-06-19,RTH,-1.7871,NORMAL_LOW,-2.0835,NORMAL_LOW,2+,2026-06-19,RTH,-51.7500,-46.0000,-120.7500,-94.7500
3,LOW,2026-06-19,RTH,-2.0586,NORMAL_LOW,-2.0833,NORMAL_LOW,2+,2026-06-19,RTH,19.7500,13.0000,14.0000,11.2500
3,LOW,2026-09-07,RTH,-2.2942,NORMAL_LOW,-2.0787,NORMAL_LOW,0,2026-09-07,RTH,-3.2500,-2.0000,-6.5000,19.0000
3,LOW,2026-07-03,RTH,-2.3713,NORMAL_LOW,-2.0661,NORMAL_LOW,2+,2026-07-03,RTH,-3.0000,8.0000,11.0000,4.5000
