stopMult,targetMult,holdMin,N,WR,EV,total,stopPct,targetPct,placeboWR,placeboEV,delta
1.5,2.5,720,31,61.29,244.38,7575.78,22.58,6.45,44.52,29.91,214.47
2,2.5,720,31,61.29,236.66,7336.50,19.35,6.45,49.35,46.15,190.51
1.75,2.5,720,31,61.29,234.90,7281.94,22.58,6.45,46.77,32.50,202.40
1.5,2,720,31,61.29,225.85,7001.41,22.58,6.45,44.52,33.78,192.07
2,2,720,31,61.29,218.13,6762.13,19.35,6.45,43.55,11.63,206.50
1.75,2,720,31,61.29,216.37,6707.56,22.58,6.45,48.06,29.70,186.67
1.5,1.5,720,31,61.29,207.32,6427.03,22.58,6.45,50.00,64.46,142.87
1.5,2.5,480,31,61.29,206.78,6410.28,22.58,6.45,47.10,86.15,120.64
2,1.5,720,31,61.29,199.60,6187.75,19.35,6.45,46.77,24.25,175.35
1.75,1.5,720,31,61.29,197.84,6133.19,22.58,6.45,47.74,46.85,150.99
1.75,2.5,480,31,61.29,197.30,6116.44,22.58,6.45,47.74,13.08,184.23
2,2.5,480,31,61.29,196.81,6101.00,19.35,6.45,46.77,82.60,114.20
1.5,2,480,31,61.29,188.26,5835.91,22.58,6.45,45.16,43.34,144.92
1.5,3,720,31,58.06,186.59,5784.41,22.58,0.00,44.52,23.34,163.25
1,2.5,720,31,48.39,186.30,5775.39,45.16,6.45,37.10,28.55,157.76
1.75,2,480,31,61.29,178.78,5542.06,22.58,6.45,47.42,17.78,160.99
2,2,480,31,61.29,178.28,5526.63,19.35,6.45,46.13,14.23,164.05
1.25,2.5,720,31,48.39,177.51,5502.85,35.48,6.45,38.39,-15.20,192.71
1.75,3,720,31,58.06,177.11,5490.56,22.58,0.00,44.19,19.98,157.13
1.5,1.5,480,31,61.29,169.73,5261.53,22.58,6.45,48.71,43.94,125.78
1,2,720,31,48.39,167.77,5201.02,45.16,6.45,41.29,59.84,107.93
1.75,1.5,480,31,61.29,160.25,4967.69,22.58,6.45,47.42,22.48,137.77
2,1.5,480,31,61.29,159.75,4952.25,19.35,6.45,44.84,34.92,124.83
1.25,2,720,31,48.39,158.98,4928.48,35.48,6.45,39.68,0.25,158.74
1,2.5,480,31,51.61,154.17,4779.40,41.94,6.45,40.00,56.29,97.88
1.5,2.5,240,31,58.06,153.27,4751.41,19.35,3.23,45.81,40.82,112.45
1,1.5,720,31,48.39,149.25,4626.64,45.16,6.45,40.97,36.89,112.36
1.5,2,240,31,58.06,146.68,4547.12,19.35,3.23,47.74,37.74,108.94
1.75,2.5,240,31,58.06,146.43,4539.23,19.35,3.23,47.10,39.88,106.55
1.25,2.5,480,31,51.61,142.27,4410.35,35.48,6.45,38.71,11.98,130.29
1.25,1.5,720,31,48.39,140.45,4354.10,35.48,6.45,36.77,-36.49,176.94
1.75,2,240,31,58.06,139.84,4334.95,19.35,3.23,45.48,-1.38,141.22
2,2.5,240,31,58.06,139.58,4327.06,19.35,3.23,48.39,40.13,99.45
1,2,480,31,51.61,135.65,4205.02,41.94,6.45,40.97,39.21,96.43
1.5,1.5,240,31,58.06,133.15,4127.59,19.35,6.45,46.13,36.84,96.30
2,2,240,31,58.06,132.99,4122.78,19.35,3.23,45.81,19.83,113.16
1,2.5,240,31,48.39,132.89,4119.63,38.71,3.23,43.55,44.88,88.01
1.5,3,480,31,58.06,131.58,4078.91,22.58,0.00,48.39,57.19,74.39
1,3,720,31,45.16,128.52,3984.02,45.16,0.00,39.03,14.88,113.64
1.75,1.5,240,31,58.06,126.30,3915.42,19.35,6.45,48.71,19.77,106.54
1,2,240,31,48.39,126.30,3915.34,38.71,3.23,33.55,-12.15,138.45
1.25,2,480,31,51.61,123.74,3835.98,35.48,6.45,38.71,-29.11,152.85
1.75,3,480,31,58.06,122.10,3785.06,22.58,0.00,45.48,-16.20,138.30
1.25,2.5,240,31,51.61,120.32,3729.91,35.48,3.23,42.90,10.76,109.56
1.25,3,720,31,45.16,119.73,3711.48,35.48,0.00,38.71,31.73,87.99
2,1.5,240,31,58.06,119.46,3703.25,19.35,6.45,49.68,16.32,103.14
1,1.5,480,31,51.61,117.12,3630.65,41.94,6.45,37.10,-3.75,120.86
1.25,2,240,31,51.61,113.73,3525.63,35.48,3.23,41.29,9.04,104.69
1,1.5,240,31,48.39,112.77,3495.82,38.71,6.45,40.32,15.45,97.31
1.25,1.5,480,31,51.61,105.21,3261.60,35.48,6.45,35.81,-29.37,134.58
1.25,1.5,240,31,51.61,100.20,3106.10,35.48,6.45,43.87,-26.96,127.15
1,3,240,31,45.16,93.67,2903.69,38.71,0.00,38.71,9.05,84.62
1.25,3,240,31,48.39,81.10,2513.98,35.48,0.00,40.00,-13.93,95.03
1,3,480,31,48.39,78.97,2448.02,41.94,0.00,34.19,-22.13,101.10
1.25,3,480,31,48.39,67.06,2078.98,35.48,0.00,40.32,-16.21,83.27
