threshold,pivotType,pivotPrice,entryTime,direction,entryPrice,stopPrice,streak,isGlobex,fwd30,fwd60,fwd120,fwd240
1.5,LOW,23025.25,2026-03-30 20:25:00,SHORT,23011.75,23063.54025,5,true,-193.50,-281.00,-326.00,-292.00
1.5,HIGH,23902,2025-09-09 22:40:00,LONG,23907,23891.89,9,true,5.75,8.50,12.75,35.00
1.5,LOW,23505,2026-03-27 10:35:00,SHORT,23457,23561.86,1,false,-80.75,-141.00,-20.75,98.50
1.5,HIGH,24403.5,2025-09-18 03:55:00,LONG,24422,24383.16875,7,true,25.50,57.00,55.25,70.75
1.5,LOW,24003.75,2025-11-21 05:15:00,SHORT,23946,24043.83425,0,true,-96.25,-202.25,-87.50,-281.25
1.5,HIGH,25225.25,2025-10-10 11:30:00,SHORT,24932.75,25324.2255,6,false,-97.25,-9.00,80.00,-97.25
1.5,LOW,24893.25,2025-10-10 13:10:00,SHORT,24868.25,24931.9785,0,false,-26.75,69.00,-104.75,-240.00
1.5,HIGH,25640.25,2025-10-24 08:45:00,LONG,25720,25608.84625,1,false,68.25,53.00,76.50,372.00
1.5,LOW,24400,2025-11-20 12:55:00,SHORT,24395,24460.33575,2,false,-98.00,139.00,32.50,309.75
1.5,HIGH,25280,2025-10-15 10:15:00,LONG,25319,25258.9295,0,false,-105.00,-134.00,-168.00,26.00
1.5,LOW,24660,2025-11-20 12:05:00,SHORT,24533.5,24807.6505,2,false,198.50,74.00,276.25,408.00
1.5,HIGH,25353,2025-10-15 11:20:00,SHORT,25305.5,25354.293,0,false,93.00,260.50,111.25,0.50
1.5,LOW,24908.25,2025-10-17 07:25:00,LONG,24955,24857.707,3,true,78.00,240.75,159.00,362.75
1.5,HIGH,25417,2025-10-20 09:50:00,LONG,25466.75,25395.92625,0,false,95.25,117.25,68.75,98.25
1.5,LOW,24646,2025-11-20 12:05:00,SHORT,24533.5,24808.64175,1,false,198.50,74.00,276.25,408.00
1.5,HIGH,25606,2025-10-24 02:20:00,LONG,25626.75,25594.11175,0,true,96.25,148.25,175.25,466.50
1.5,LOW,25053,2025-11-07 12:30:00,LONG,25101.5,25033.325,2,false,48.50,75.00,348.50,656.75
1.5,HIGH,26670,2026-04-17 09:00:00,LONG,26729.25,26596.0615,0,false,-41.00,20.00,96.25,133.50
1.5,LOW,25551,2025-11-06 11:50:00,SHORT,25519.5,25556.5065,3,false,-78.00,-162.00,4.75,162.25
1.5,HIGH,26133.5,2026-01-27 19:15:00,LONG,26158.5,26104.67075,2,true,44.00,60.75,56.25,61.25
1.5,LOW,24960.75,2025-11-14 08:40:00,SHORT,24928,24983.74825,1,false,-167.75,-265.75,-565.25,-506.00
