entryTime,direction,entryPrice,stopPrice,pivotPrice,streak,numTouches,fwd30,fwd60,fwd120,fwd240
2025-09-03 22:15:00,LONG,23519.25,23492.80625,23509.5,6,7,-17.75,-41.25,-32.00,-57.75
2025-09-02 16:20:00,LONG,23375.25,23266.45975,23333.5,2,3,-3.00,-15.50,-43.25,-54.25
2026-03-30 20:25:00,SHORT,23011.75,23063.54025,23025.25,5,6,-193.50,-281.00,-326.00,-292.00
2026-03-30 20:25:00,SHORT,23011.75,23063.54025,23027,4,5,-193.50,-281.00,-326.00,-292.00
2025-09-04 11:30:00,LONG,23535.5,23499.9785,23525.25,9,10,-1.50,-5.25,35.75,93.50
2025-09-03 20:20:00,LONG,23496.25,23426.4785,23464,5,6,9.00,9.25,18.75,-2.75
2025-09-04 11:55:00,LONG,23538.5,23499.9785,23532,4,5,-6.00,19.50,52.25,122.00
2026-03-27 10:05:00,SHORT,23484,23630.36,23595,6,7,-3.50,-53.75,-52.25,132.25
2026-03-27 10:05:00,SHORT,23484,23630.36,23596.25,5,6,-3.50,-53.75,-52.25,132.25
2025-09-08 09:40:00,LONG,23831,23766.937,23791.25,4,5,21.25,42.25,35.50,-33.25
2026-03-27 06:45:00,SHORT,23677.5,23747.313,23724.5,6,7,34.00,20.00,43.75,217.25
2025-09-09 16:25:00,LONG,23897,23855.687,23876.25,7,8,-8.50,-2.00,-16.00,-9.00
2025-09-09 16:35:00,LONG,23904,23865.937,23888,3,4,-10.00,-2.25,-27.00,-1.00
2026-03-27 06:00:00,SHORT,23735,23788.313,23760,6,7,-4.75,101.75,77.00,228.25
2025-11-21 05:10:00,SHORT,23967,24079.31,24044.25,3,4,-95.25,-161.00,-46.50,-295.50
2025-11-21 05:15:00,SHORT,23946,24044.06,24015,2,3,-96.25,-202.25,-87.50,-281.25
2026-03-27 05:05:00,SHORT,23723.5,23811.06,23785,4,5,-65.00,-20.50,97.50,127.00
2026-03-23 02:45:00,SHORT,23873.75,23933.56,23919,5,6,-7.75,15.50,-51.00,28.00
2025-09-17 10:05:00,SHORT,24225.5,24305.08125,24258.25,7,8,26.00,58.00,57.50,-35.25
2025-09-17 18:55:00,LONG,24324.25,24284.41575,24300.5,1,2,7.00,18.50,-2.25,55.50
2025-09-28 18:15:00,LONG,24997.25,24523.00875,24563.5,1,2,144.25,133.00,90.75,35.50
2025-11-20 12:55:00,SHORT,24395,24460.4755,24412.5,3,4,-98.00,139.00,32.50,309.75
2025-10-10 11:30:00,SHORT,24932.75,25324.2255,25225.25,6,7,-97.25,-9.00,80.00,-97.25
2025-09-30 03:45:00,SHORT,25015.5,25066.2255,25059.25,2,3,11.00,-24.75,-55.25,-114.50
2025-09-30 16:00:00,LONG,25130,25092.7745,25110,3,4,-116.75,-99.75,65.00,268.00
2025-09-30 15:35:00,LONG,25115,25092.2825,25094.5,3,4,-24.25,-136.25,13.50,207.25
2025-10-12 20:00:00,LONG,25005,24991.0215,24995,3,4,71.00,55.00,22.00,195.00
2025-10-03 13:55:00,SHORT,25221.75,25286.0925,25271.5,4,5,-35.50,-129.25,-187.50,-267.00
2025-10-07 10:35:00,SHORT,25444.5,25490.08425,25485.25,5,6,140.50,108.25,122.25,-54.75
2025-10-07 11:20:00,SHORT,25363.5,25384.08425,25368.75,1,2,69.50,101.50,16.25,-177.00
2025-10-08 12:10:00,LONG,25515.75,25494.91575,25499.5,4,5,20.50,68.50,8.50,83.75
2025-10-10 11:30:00,SHORT,24932.75,25323.9445,25241.25,2,3,-97.25,-9.00,80.00,-97.25
2025-10-08 04:45:00,LONG,25358,25332.5555,25336.25,1,2,-21.00,118.00,178.25,98.00
2025-10-10 11:30:00,SHORT,24932.75,25323.9445,25260,2,3,-97.25,-9.00,80.00,-97.25
2025-10-07 19:25:00,SHORT,25290,25315.9445,25310,1,2,-57.25,-83.75,-226.00,-222.00
2025-10-10 07:10:00,LONG,25559.75,25501.613,25513.25,2,3,28.00,-409.75,-517.75,-881.25
2025-10-24 02:20:00,LONG,25626.75,25595.91425,25599.25,8,9,96.25,148.25,175.25,466.50
2025-10-24 07:05:00,SHORT,25621.75,25633.83575,25630,1,2,-128.25,-158.25,-182.00,-468.25
2025-10-14 01:55:00,SHORT,24950,25005.58575,24987.75,5,6,61.50,75.00,90.00,-195.00
2025-10-14 01:55:00,SHORT,24950,25006.3205,24978.5,1,2,61.50,75.00,90.00,-195.00
2025-10-13 20:30:00,LONG,25280,25190.1795,25200,1,2,-222.00,-323.00,-419.25,-162.50
2025-10-14 00:15:00,SHORT,25058,25144.8205,25137,1,2,115.75,224.75,355.50,-99.00
2025-11-18 11:05:00,SHORT,24737,24765.4005,24745,8,9,-190.50,-284.00,-238.00,-181.25
2025-11-20 12:05:00,SHORT,24533.5,24807.6505,24660,2,3,198.50,74.00,276.25,408.00
2025-10-15 12:55:00,SHORT,25155,25194.6505,25180.5,6,7,135.00,-7.25,-28.00,-150.25
2025-10-17 08:05:00,LONG,24972,24930.0995,24934.25,6,7,-60.25,188.00,190.00,357.00
2025-10-16 14:25:00,SHORT,24921,25014.9005,24985.25,3,4,-104.00,-90.75,209.00,-167.75
2025-10-16 05:00:00,LONG,25263,25229.957,25230.75,2,3,49.00,72.00,-46.50,-253.00
2025-10-17 07:25:00,LONG,24955,24857.707,24908.25,3,4,78.00,240.75,159.00,362.75
2025-10-20 09:30:00,LONG,25432.25,25363.42625,25367,2,3,130.00,111.50,72.75,107.75
2025-10-17 10:25:00,LONG,25150,25070.17625,25079,3,4,-145.00,12.00,98.75,417.75
2025-11-20 12:05:00,SHORT,24533.5,24808.64175,24666,2,3,198.50,74.00,276.25,408.00
2025-11-20 12:05:00,SHORT,24533.5,24808.64175,24646,1,2,198.50,74.00,276.25,408.00
2025-11-18 02:10:00,SHORT,24886.25,24949.14175,24911.75,4,5,-162.00,-93.75,141.25,-148.25
2025-11-18 02:05:00,SHORT,24860.5,24949.14175,24917.25,3,4,-184.50,-145.00,82.25,-160.50
2025-11-07 12:50:00,SHORT,25037.75,25098.39175,25085,4,5,-144.75,-205.25,-584.00,-748.00
2025-10-23 13:45:00,LONG,25524.25,25468.8215,25473,6,7,-21.00,98.00,241.00,441.50
2025-11-06 11:50:00,SHORT,25519.5,25555.925,25532.5,4,5,-78.00,-162.00,4.75,162.25
2025-10-22 20:05:00,SHORT,25234.75,25313.925,25304,4,5,-104.25,39.00,-167.25,-379.25
2025-10-23 10:00:00,LONG,25415,25339.575,25365.75,1,2,-25.00,66.75,155.00,357.00
2025-11-07 10:45:00,SHORT,25109.25,25221.925,25200,6,7,85.50,86.00,-133.50,-540.25
2025-11-07 06:25:00,SHORT,25374.5,25451.557,25425.5,5,6,47.75,174.50,309.75,26.25
2025-11-05 08:30:00,LONG,25822.75,25764.23625,25777.5,12,13,115.25,153.75,249.50,79.25
2025-11-04 01:00:00,SHORT,26060,26131.1775,26100.5,3,4,48.75,45.00,100.25,195.75
2025-10-29 22:20:00,LONG,26626.25,26573.8115,26586.5,1,2,-123.25,-76.25,-273.00,-467.00
2025-10-31 02:20:00,SHORT,26431,26451.4385,26441.5,7,8,-48.25,75.25,186.00,81.00
2025-10-31 02:20:00,SHORT,26431,26451.4385,26440.25,8,9,-48.25,75.25,186.00,81.00
2025-10-30 20:35:00,LONG,26443.25,26418.829,26420,4,5,28.25,61.75,-86.50,-112.25
2026-04-17 08:00:00,LONG,26584.5,26534.079,26556,2,3,57.00,134.75,164.75,212.75
2025-10-31 09:45:00,SHORT,26383.25,26466.171,26438.25,6,7,-34.75,104.50,141.25,-61.50
2026-04-16 12:10:00,LONG,26551.75,26494.4315,26525,2,3,-41.25,-75.75,-155.75,-98.00
2025-11-03 05:55:00,LONG,26405,26370.6815,26380,1,2,52.00,-68.50,-64.50,-470.50
2026-01-28 01:20:00,LONG,26305.75,26239.61575,26288,1,2,4.25,8.00,-23.75,-23.50
2026-01-28 01:15:00,LONG,26317.5,26239.61575,26277,1,2,-10.00,-1.75,-16.25,-30.50
2026-04-15 20:55:00,LONG,26437.75,26409.36575,26425.5,2,3,0.00,9.00,6.50,-0.25
2025-11-04 11:25:00,SHORT,26014,26083.0065,26050,1,2,54.00,130.25,174.00,232.75
2025-11-06 11:50:00,SHORT,25519.5,25556.5065,25551,3,4,-78.00,-162.00,4.75,162.25
2026-01-27 19:15:00,LONG,26158.5,26104.67075,26133.5,2,3,44.00,60.75,56.25,61.25
2025-11-10 10:35:00,LONG,25926.25,25871.67075,25907.75,5,6,-176.75,-34.00,53.75,-128.25
2025-11-06 23:05:00,SHORT,25442,25507.71,25490.5,2,3,-154.00,69.00,217.00,327.00
2025-11-13 09:50:00,SHORT,25624,25690.96,25686,1,2,64.25,151.50,343.25,251.25
2025-11-09 20:10:00,LONG,25638.5,25593.29,25600.75,4,5,103.50,113.50,166.00,276.50
2025-11-14 10:50:00,LONG,25400,25257.50175,25287.5,6,7,93.00,139.00,-63.75,2.75
