TRADING JOURNAL — MONTHLY REPORT
Month         : 2026-09  (2026-09-01 – 2026-09-30)
Generated     : 2026-09-06T23:00:00.197Z
============================================================

PERFORMANCE SUMMARY
----------------------------------------
Trading days  : 0
Total P&L     : +$0.00
Daily avg     : +$0.00
Daily σ       : $0.00
Win days      : 0 / 0 (N/A)

SETUP STATISTICS
----------------------------------------
PD_VAH_FADE_SHORT              fired: 25 | wins: 13 | losses: 12 | expired: 0 | wr: 52.0% | avg pnl: +$17.52 | avg conf: 2.1
GLOBEX_VWAP_FADE_LONG          fired: 25 | wins: 12 | losses: 13 | expired: 0 | wr: 48.0% | avg pnl: -$22.80 | avg conf: 1.4
CAM_R1_FADE_LONG               fired: 23 | wins: 13 | losses: 9 | expired: 1 | wr: 59.1% | avg pnl: +$17.41 | avg conf: 3.0
GLOBEX_VWAP_FADE_SHORT         fired: 21 | wins: 10 | losses: 10 | expired: 1 | wr: 50.0% | avg pnl: +$9.55 | avg conf: 1.5
OR5_HIGH_FADE_SHORT            fired: 18 | wins: 2 | losses: 13 | expired: 2 | wr: 13.3% | avg pnl: -$14.89 | avg conf: 2.4
CAM_R1_FADE_SHORT              fired: 17 | wins: 3 | losses: 13 | expired: 1 | wr: 18.8% | avg pnl: -$44.47 | avg conf: 8.0
PD_POC_FADE_SHORT              fired: 17 | wins: 0 | losses: 6 | expired: 0 | wr: 0.0% | avg pnl: +$4.44 | avg conf: 1.9
ONH_FADE_SHORT                 fired: 16 | wins: 7 | losses: 7 | expired: 2 | wr: 50.0% | avg pnl: -$6.56 | avg conf: 3.0
IB_HIGH_FADE_SHORT             fired: 16 | wins: 5 | losses: 6 | expired: 2 | wr: 45.5% | avg pnl: +$6.94 | avg conf: 3.5
ONH_FADE_LONG                  fired: 16 | wins: 4 | losses: 10 | expired: 2 | wr: 28.6% | avg pnl: -$21.94 | avg conf: 4.7
CAM_R2_FADE_SHORT              fired: 15 | wins: 12 | losses: 1 | expired: 2 | wr: 92.3% | avg pnl: +$56.80 | avg conf: 1.0
OR5_MID_FADE_LONG              fired: 14 | wins: 5 | losses: 7 | expired: 2 | wr: 41.7% | avg pnl: +$19.86 | avg conf: 4.2
OR5_HIGH_FADE_LONG             fired: 14 | wins: 6 | losses: 7 | expired: 1 | wr: 46.2% | avg pnl: -$4.64 | avg conf: 2.6
PD_POC_FADE_LONG               fired: 13 | wins: 6 | losses: 7 | expired: 0 | wr: 46.2% | avg pnl: +$9.08 | avg conf: 1.8
CAM_R2_FADE_LONG               fired: 13 | wins: 2 | losses: 10 | expired: 1 | wr: 16.7% | avg pnl: -$45.69 | avg conf: 4.5
POC_ROTATION_JOIN_SHORT        fired: 13 | wins: 0 | losses: 10 | expired: 3 | wr: 0.0% | avg pnl: -$10.58
IB_LOW_FADE_LONG               fired: 12 | wins: 4 | losses: 3 | expired: 2 | wr: 57.1% | avg pnl: +$11.42 | avg conf: 5.8
PD_VAL_FADE_LONG               fired: 11 | wins: 6 | losses: 4 | expired: 0 | wr: 60.0% | avg pnl: +$10.18 | avg conf: 2.1
C_PAIRED_LONG                  fired: 11 | wins: 4 | losses: 5 | expired: 2 | wr: 44.4% | avg pnl: -$16.50
