StartDate,EndDate,OpenPrice,ClosePrice,ReturnDollars
2023-12-08,2023-12-14,15956.00,16544.75,1177.50
2024-03-08,2024-03-14,18318.00,18029.50,-577.00
2024-06-14,2024-06-20,19578.00,19768.00,380.00
2024-09-13,2024-09-19,19409.25,19847.75,877.00
2024-12-13,2024-12-19,21795.25,21110.75,-1369.00
2025-03-14,2025-03-20,19465.00,19681.25,432.50
2025-06-16,2025-06-20,22014.50,21842.00,-345.00
2025-07-14,2025-07-18,22942.75,23227.25,569.00
2025-08-11,2025-08-15,23715.75,23807.50,183.50
2025-09-12,2025-09-18,24040.75,24454.25,827.00
2025-10-13,2025-10-17,25065.25,25237.00,343.50
2025-11-14,2025-11-21,24989.75,24311.75,-1356.00
2025-12-15,2025-12-19,25666.75,25580.75,-172.00
2026-01-12,2026-01-16,25746.25,25684.50,-123.50
2026-02-16,2026-02-20,24762.75,25075.00,624.50
2026-03-16,2026-03-20,24869.25,24113.50,-1511.50
2026-04-13,2026-04-17,25215.75,26827.75,3224.00
2026-05-11,2026-05-15,29305.00,29231.25,-147.50
2026-06-15,2026-06-19,30633.25,30647.00,27.50
2026-07-13,2026-07-17,29710.00,28764.75,-1890.50
2026-08-17,2026-08-21,30219.25,29395.75,-1647.00
