setup_type,condition,group,n,wr,ev,distinct_dates,max_date_pct
POOLED_OR_FAMILY,Gap_Into_Level,aligned,553,0.483,3.63,370,0.5
POOLED_OR_FAMILY,Gap_Into_Level,against,563,0.469,0.61,371,0.5
OR5_HIGH_FADE_LONG,Gap_Into_Level,aligned,10,0.400,-10.80,10,10.0
OR5_HIGH_FADE_LONG,Gap_Into_Level,against,15,0.400,-13.37,15,6.7
OR5_HIGH_FADE_SHORT,Gap_Into_Level,aligned,191,0.440,1.59,191,0.5
OR5_HIGH_FADE_SHORT,Gap_Into_Level,against,145,0.462,5.68,145,0.7
OR5_LOW_FADE_LONG,Gap_Into_Level,aligned,147,0.544,7.77,147,0.7
OR5_LOW_FADE_LONG,Gap_Into_Level,against,194,0.490,-2.08,194,0.5
OR5_LOW_FADE_SHORT,Gap_Into_Level,aligned,19,0.421,-9.89,19,5.3
OR5_LOW_FADE_SHORT,Gap_Into_Level,against,10,0.600,23.60,10,10.0
OR5_MID_FADE_LONG,Gap_Into_Level,aligned,86,0.535,6.60,86,1.2
OR5_MID_FADE_LONG,Gap_Into_Level,against,116,0.431,-7.40,116,0.9
OR5_MID_FADE_SHORT,Gap_Into_Level,aligned,100,0.450,2.90,100,1.0
OR5_MID_FADE_SHORT,Gap_Into_Level,against,83,0.482,8.96,83,1.2
POOLED_OR_FAMILY,First_vs_Repeat,first,1119,0.477,2.30,429,0.3
POOLED_OR_FAMILY,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
OR5_HIGH_FADE_LONG,First_vs_Repeat,first,26,0.423,-9.10,26,3.8
OR5_HIGH_FADE_LONG,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
OR5_HIGH_FADE_SHORT,First_vs_Repeat,first,336,0.449,3.36,336,0.3
OR5_HIGH_FADE_SHORT,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
OR5_LOW_FADE_LONG,First_vs_Repeat,first,342,0.515,2.40,342,0.3
OR5_LOW_FADE_LONG,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
OR5_LOW_FADE_SHORT,First_vs_Repeat,first,29,0.483,1.66,29,3.4
OR5_LOW_FADE_SHORT,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
OR5_MID_FADE_LONG,First_vs_Repeat,first,203,0.478,-1.10,203,0.5
OR5_MID_FADE_LONG,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
OR5_MID_FADE_SHORT,First_vs_Repeat,first,183,0.464,5.65,183,0.5
OR5_MID_FADE_SHORT,First_vs_Repeat,repeat,0,0.000,0.00,0,0.0
POOLED_OR_FAMILY,IB_Close,before_ib,1031,0.477,2.28,429,0.3
POOLED_OR_FAMILY,IB_Close,after_ib,88,0.477,2.55,74,2.3
OR5_HIGH_FADE_LONG,IB_Close,before_ib,26,0.423,-9.10,26,3.8
OR5_HIGH_FADE_LONG,IB_Close,after_ib,0,0.000,0.00,0,0.0
OR5_HIGH_FADE_SHORT,IB_Close,before_ib,300,0.440,1.69,300,0.3
OR5_HIGH_FADE_SHORT,IB_Close,after_ib,36,0.528,17.25,36,2.8
OR5_LOW_FADE_LONG,IB_Close,before_ib,313,0.524,4.09,313,0.3
OR5_LOW_FADE_LONG,IB_Close,after_ib,29,0.414,-15.81,29,3.4
OR5_LOW_FADE_SHORT,IB_Close,before_ib,27,0.481,1.26,27,3.7
OR5_LOW_FADE_SHORT,IB_Close,after_ib,2,0.500,7.00,2,50.0
OR5_MID_FADE_LONG,IB_Close,before_ib,191,0.476,-1.29,191,0.5
OR5_MID_FADE_LONG,IB_Close,after_ib,12,0.500,2.00,12,8.3
OR5_MID_FADE_SHORT,IB_Close,before_ib,174,0.466,5.80,174,0.6
OR5_MID_FADE_SHORT,IB_Close,after_ib,9,0.444,2.67,9,11.1
POOLED_OR_FAMILY,Approach_Vel,top_tercile,202,0.431,-4.66,163,1.5
POOLED_OR_FAMILY,Approach_Vel,bottom_two_terciles,917,0.487,3.83,411,0.3
OR5_HIGH_FADE_LONG,Approach_Vel,top_tercile,7,0.286,-26.57,7,14.3
