Bucket,Strategy,N,WinRate,EV_Points,Total_Points
All,Fixed 30/30 JOIN,5203,0.521,1.21,6287.75
All,Fixed 30/30 FADE,5203,0.476,-1.31,-6827.75
All,Fixed 40/20 JOIN,5203,0.387,0.95,4967.75
All,Fixed 40/20 FADE,5203,0.349,-1.30,-6746.00
All,Time 60m/Stop 20 JOIN,5203,0.367,1.14,5906.75
Delta < 0.1,Fixed 30/30 JOIN,2865,0.524,1.31,3767.00
Delta < 0.1,Fixed 30/30 FADE,2865,0.474,-1.42,-4067.00
Delta < 0.1,Fixed 40/20 JOIN,2865,0.384,1.15,3308.75
Delta < 0.1,Fixed 40/20 FADE,2865,0.342,-1.22,-3500.00
Delta < 0.1,Time 60m/Stop 20 JOIN,2865,0.346,0.88,2517.25
Delta >= 0.1,Fixed 30/30 JOIN,2338,0.518,1.08,2520.75
Delta >= 0.1,Fixed 30/30 FADE,2338,0.479,-1.18,-2760.75
Delta >= 0.1,Fixed 40/20 JOIN,2338,0.392,0.71,1659.00
Delta >= 0.1,Fixed 40/20 FADE,2338,0.358,-1.39,-3246.00
Delta >= 0.1,Time 60m/Stop 20 JOIN,2338,0.394,1.45,3389.50
Delta >= 0.2,Fixed 30/30 JOIN,971,0.492,0.03,32.00
Delta >= 0.2,Fixed 30/30 FADE,971,0.505,-0.09,-92.00
Delta >= 0.2,Fixed 40/20 JOIN,971,0.386,0.33,323.75
Delta >= 0.2,Fixed 40/20 FADE,971,0.378,-1.01,-976.50
Delta >= 0.2,Time 60m/Stop 20 JOIN,971,0.405,1.19,1152.00
