mode,pop_n,pct_backfill,category,slice_name,horizon,n,missing_horizon,baseline_mean,baseline_median,slice_mean,slice_median,slice_stddev,delta_mean,status
ALL,5094,87.3,setup_type,VWAP_MAGNET_SHORT,15,371,0,255.89,220.50,258.20,258.25,143.73,2.30,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_SHORT,30,371,0,251.41,214.75,258.51,251.75,146.66,7.10,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_SHORT,60,371,0,239.65,203.25,258.62,250.00,153.39,18.97,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_SHORT,120,371,0,200.20,175.25,226.19,225.25,137.60,25.99,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_SHORT,240,371,0,71.57,33.00,60.04,29.50,94.98,-11.52,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_LONG,15,1793,0,255.89,220.50,332.36,287.75,219.13,76.46,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_LONG,30,1793,0,251.41,214.75,323.55,276.75,215.42,72.14,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_LONG,60,1793,0,239.65,203.25,302.20,258.50,211.02,62.55,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_LONG,120,1793,0,200.20,175.25,245.89,218.75,189.41,45.69,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_LONG,240,1793,0,71.57,33.00,80.95,32.00,127.06,9.38,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_SHORT,15,946,0,255.89,220.50,252.22,225.25,167.30,-3.67,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_SHORT,30,946,0,251.41,214.75,245.53,214.63,165.64,-5.88,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_SHORT,60,946,0,239.65,203.25,233.75,203.75,169.84,-5.91,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_SHORT,120,946,0,200.20,175.25,191.52,166.50,161.62,-8.67,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_MAGNET_SHORT,240,946,0,71.57,33.00,43.19,27.00,82.14,-28.37,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_LONG,15,164,0,255.89,220.50,20.29,11.00,66.67,-235.61,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_LONG,30,164,0,251.41,214.75,25.31,15.75,71.28,-226.10,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_LONG,60,164,0,239.65,203.25,27.45,15.88,74.84,-212.21,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_LONG,120,163,1,200.20,175.25,15.99,10.00,85.93,-184.21,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_LONG,240,163,1,71.57,33.00,28.30,40.50,90.63,-43.26,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_LONG,15,735,0,255.89,220.50,419.53,375.00,281.06,163.64,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_LONG,30,735,0,251.41,214.75,412.35,370.00,273.17,160.94,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_LONG,60,735,0,239.65,203.25,390.60,348.00,265.67,150.94,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_LONG,120,735,0,200.20,175.25,327.35,291.00,220.79,127.15,OK
ALL,5094,87.3,setup_type,VWAP_MAGNET_LONG,240,735,0,71.57,33.00,102.06,38.00,145.41,30.50,OK
ALL,5094,87.3,setup_type,IB_BEARISH,15,148,0,255.89,220.50,69.78,64.13,94.21,-186.12,OK
ALL,5094,87.3,setup_type,IB_BEARISH,30,148,0,251.41,214.75,69.66,56.63,128.48,-181.75,OK
ALL,5094,87.3,setup_type,IB_BEARISH,60,148,0,239.65,203.25,67.48,60.50,160.57,-172.18,OK
ALL,5094,87.3,setup_type,IB_BEARISH,120,148,0,200.20,175.25,52.24,34.63,200.33,-147.96,OK
ALL,5094,87.3,setup_type,IB_BEARISH,240,148,0,71.57,33.00,32.13,19.38,199.64,-39.43,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_LONG,15,23,0,255.89,220.50,91.29,91.00,108.38,-164.60,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_LONG,30,23,0,251.41,214.75,92.00,77.75,108.35,-159.41,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_LONG,60,23,0,239.65,203.25,114.05,100.75,104.21,-125.60,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_LONG,120,23,0,200.20,175.25,126.22,105.00,99.84,-73.98,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_LONG,240,23,0,71.57,33.00,102.18,124.50,131.51,30.62,OK
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_SHORT,15,16,0,255.89,220.50,93.97,39.13,118.86,-161.93,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_SHORT,30,16,0,251.41,214.75,111.39,82.63,156.13,-140.02,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_SHORT,60,16,0,239.65,203.25,142.95,104.75,128.36,-96.70,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_SHORT,120,16,0,200.20,175.25,154.13,117.63,154.32,-46.07,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_SHORT,240,16,0,71.57,33.00,141.30,132.50,205.16,69.73,INSUFFICIENT
ALL,5094,87.3,setup_type,OPEN_DRIVE_LONG,15,28,0,255.89,220.50,91.51,81.13,97.22,-164.39,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_LONG,30,28,0,251.41,214.75,101.79,94.63,103.19,-149.63,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_LONG,60,28,0,239.65,203.25,94.39,93.00,111.26,-145.26,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_LONG,120,28,0,200.20,175.25,99.43,93.75,115.87,-100.77,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_LONG,240,28,0,71.57,33.00,76.70,85.75,104.88,5.13,OK
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_SHORT,15,1,0,255.89,220.50,47.00,47.00,undefined,-208.89,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_SHORT,30,1,0,251.41,214.75,128.50,128.50,undefined,-122.91,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_SHORT,60,1,0,239.65,203.25,131.75,131.75,undefined,-107.90,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_SHORT,120,1,0,200.20,175.25,272.00,272.00,undefined,71.80,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_SHORT,240,1,0,71.57,33.00,-15.25,-15.25,undefined,-86.82,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_HIGH_FADE_SHORT,15,23,0,255.89,220.50,66.78,52.25,57.28,-189.11,OK
ALL,5094,87.3,setup_type,IB_HIGH_FADE_SHORT,30,23,0,251.41,214.75,72.35,50.25,92.37,-179.06,OK
ALL,5094,87.3,setup_type,IB_HIGH_FADE_SHORT,60,23,0,239.65,203.25,90.99,82.75,125.40,-148.67,OK
ALL,5094,87.3,setup_type,IB_HIGH_FADE_SHORT,120,23,0,200.20,175.25,103.38,84.25,155.70,-96.82,OK
ALL,5094,87.3,setup_type,IB_HIGH_FADE_SHORT,240,23,0,71.57,33.00,100.35,64.75,225.04,28.78,OK
ALL,5094,87.3,setup_type,OR5_MID_FADE_SHORT,15,7,0,255.89,220.50,75.75,50.00,67.89,-180.14,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_SHORT,30,7,0,251.41,214.75,94.14,51.50,107.14,-157.27,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_SHORT,60,7,0,239.65,203.25,127.96,29.75,177.70,-111.69,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_SHORT,120,7,0,200.20,175.25,160.32,81.75,159.61,-39.88,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_SHORT,240,7,0,71.57,33.00,166.86,258.75,157.39,95.29,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_BULLISH,15,113,0,255.89,220.50,45.15,36.75,45.64,-210.75,OK
ALL,5094,87.3,setup_type,IB_BULLISH,30,113,0,251.41,214.75,45.87,45.00,64.06,-205.54,OK
ALL,5094,87.3,setup_type,IB_BULLISH,60,113,0,239.65,203.25,43.79,58.25,81.85,-195.87,OK
ALL,5094,87.3,setup_type,IB_BULLISH,120,113,0,200.20,175.25,52.77,67.75,108.81,-147.43,OK
ALL,5094,87.3,setup_type,IB_BULLISH,240,113,0,71.57,33.00,82.13,77.50,144.93,10.56,OK
ALL,5094,87.3,setup_type,PD_VAL_FADE_SHORT,15,3,0,255.89,220.50,39.08,7.50,187.63,-216.81,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_SHORT,30,3,0,251.41,214.75,11.50,12.50,113.75,-239.91,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_SHORT,60,3,0,239.65,203.25,90.00,75.00,52.14,-149.65,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_SHORT,120,3,0,200.20,175.25,186.58,188.50,100.89,-13.61,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_SHORT,240,3,0,71.57,33.00,270.33,224.25,411.07,198.77,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_PIVOT_FADE_SHORT,15,4,0,255.89,220.50,25.63,29.63,80.87,-230.27,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_PIVOT_FADE_SHORT,30,4,0,251.41,214.75,4.75,-22.88,108.24,-246.66,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_PIVOT_FADE_SHORT,60,4,0,239.65,203.25,117.25,107.63,112.45,-122.40,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_PIVOT_FADE_SHORT,120,4,0,200.20,175.25,140.69,115.50,177.49,-59.51,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_PIVOT_FADE_SHORT,240,4,0,71.57,33.00,223.44,169.88,403.60,151.87,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_OR_MID_FADE_SHORT,15,2,0,255.89,220.50,66.88,66.88,205.24,-189.02,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_OR_MID_FADE_SHORT,30,2,0,251.41,214.75,78.38,78.38,187.56,-173.04,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_OR_MID_FADE_SHORT,60,2,0,239.65,203.25,369.63,369.63,15.38,129.97,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_OR_MID_FADE_SHORT,120,2,0,200.20,175.25,413.50,413.50,48.08,213.30,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_OR_MID_FADE_SHORT,240,2,0,71.57,33.00,528.00,528.00,341.18,456.43,INSUFFICIENT
ALL,5094,87.3,setup_type,STOP_SWEEP_SHORT,15,12,0,255.89,220.50,24.54,12.88,69.49,-231.35,INSUFFICIENT
ALL,5094,87.3,setup_type,STOP_SWEEP_SHORT,30,12,0,251.41,214.75,55.19,-8.00,142.62,-196.22,INSUFFICIENT
ALL,5094,87.3,setup_type,STOP_SWEEP_SHORT,60,12,0,239.65,203.25,125.83,81.00,225.50,-113.82,INSUFFICIENT
ALL,5094,87.3,setup_type,STOP_SWEEP_SHORT,120,12,0,200.20,175.25,161.42,131.50,247.66,-38.78,INSUFFICIENT
ALL,5094,87.3,setup_type,STOP_SWEEP_SHORT,240,12,0,71.57,33.00,108.19,-39.63,345.50,36.62,INSUFFICIENT
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_SHORT,15,23,0,255.89,220.50,89.50,67.50,120.29,-166.39,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_SHORT,30,23,0,251.41,214.75,73.72,35.75,138.35,-177.70,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_SHORT,60,23,0,239.65,203.25,70.63,30.50,138.83,-169.02,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_SHORT,120,23,0,200.20,175.25,95.09,47.75,168.84,-105.11,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_SHORT,240,23,0,71.57,33.00,99.22,59.50,221.75,27.65,OK
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_SHORT,15,1,0,255.89,220.50,-49.25,-49.25,undefined,-305.14,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_SHORT,30,1,0,251.41,214.75,62.25,62.25,undefined,-189.16,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_SHORT,60,1,0,239.65,203.25,167.50,167.50,undefined,-72.15,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_SHORT,120,1,0,200.20,175.25,291.50,291.50,undefined,91.30,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_SHORT,240,1,0,71.57,33.00,369.75,369.75,undefined,298.18,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_R1_FADE_SHORT,15,2,0,255.89,220.50,93.63,93.63,106.95,-162.27,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_R1_FADE_SHORT,30,2,0,251.41,214.75,129.88,129.88,261.45,-121.54,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_R1_FADE_SHORT,60,2,0,239.65,203.25,235.13,235.13,529.09,-4.53,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_R1_FADE_SHORT,120,2,0,200.20,175.25,212.88,212.88,628.44,12.68,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_R1_FADE_SHORT,240,2,0,71.57,33.00,207.00,207.00,848.17,135.43,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_LONG,15,5,0,255.89,220.50,104.15,90.75,112.68,-151.74,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_LONG,30,5,0,251.41,214.75,86.30,78.50,92.26,-165.11,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_LONG,60,5,0,239.65,203.25,77.70,65.00,112.44,-161.95,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_LONG,120,5,0,200.20,175.25,15.30,95.00,185.82,-184.90,INSUFFICIENT
ALL,5094,87.3,setup_type,5D_OR_MID_FADE_LONG,240,5,0,71.57,33.00,100.30,136.00,222.90,28.73,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_LONG,15,15,0,255.89,220.50,86.97,83.50,103.71,-168.93,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_LONG,30,15,0,251.41,214.75,88.02,108.25,99.92,-163.40,INSUFFICIENT
