Config,K,RejectFrac,FlatBaseN,FlatBaseRate,SigN,SigRate,SigTMBaseRate,SameSelN,SameSelRate,SameSelTMBaseRate,Z_SigVsFlatBase,Z_SigVsTMBase,Z_SigVsSame,ThirdsStable
PD_VAH_TO_PD_VAL_GLOBEX,3,0.02,412,61.2%,255,40.0%,50.5%,44,45.5%,50.5%,-5.32,-3.36,-0.68,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,3,0.05,412,61.2%,272,41.2%,50.7%,27,37.0%,48.9%,-5.13,-3.14,0.42,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,3,0.1,412,61.2%,286,41.6%,50.5%,13,23.1%,50.4%,-5.09,-3.02,1.33,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,5,0.02,412,61.2%,245,40.0%,50.2%,54,44.4%,50.9%,-5.26,-3.21,-0.60,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,5,0.05,412,61.2%,265,40.4%,50.4%,34,44.1%,50.5%,-5.29,-3.25,-0.42,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,5,0.1,412,61.2%,280,41.4%,50.2%,19,31.6%,52.6%,-5.11,-2.94,0.85,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,10,0.02,412,61.2%,214,40.2%,50.1%,84,41.7%,50.3%,-5.00,-2.91,-0.23,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,10,0.05,412,61.2%,246,38.6%,50.3%,52,50.0%,49.3%,-5.61,-3.68,-1.52,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,10,0.1,412,61.2%,266,41.0%,50.1%,32,37.5%,50.7%,-5.14,-2.98,0.38,YES_NEG
PD_VAH_TO_PD_VAL_GLOBEX,20,0.02,412,61.2%,184,40.2%,49.1%,113,38.9%,49.7%,-4.75,-2.40,0.22,YES_NEG
