swing_width,type,pivot_date,pivot_session,confluence_bucket,break_date,break_month,touchVolZ,breakVolZ,mfe_pts,mfe_atr
3,LOW,2025-09-19,GLOBEX,0,2025-09-19,2025-09,-0.6246,-0.7552,0.0000,0.0000
3,LOW,2025-09-19,GLOBEX,0,2025-09-19,2025-09,-0.8656,-0.9825,0.0000,0.0000
3,HIGH,2025-10-30,GLOBEX,2+,2025-10-30,2025-10,-0.5038,-0.6716,0.0000,0.0000
3,HIGH,2025-10-30,GLOBEX,2+,2025-10-30,2025-10,-0.8572,-0.7438,0.0000,0.0000
3,HIGH,2025-11-12,GLOBEX,0,2025-11-12,2025-11,-0.8663,-0.8130,0.0000,0.0000
3,HIGH,2025-11-17,GLOBEX,1,2025-11-17,2025-11,-0.4800,-0.8409,0.0000,0.0000
3,HIGH,2025-11-17,GLOBEX,1,2025-11-17,2025-11,-0.6469,-0.6827,0.0000,0.0000
3,LOW,2025-10-01,RTH,1,2025-10-01,2025-10,-1.4690,-1.4725,0.0000,0.0000
3,LOW,2025-10-17,GLOBEX,1,2025-11-18,2025-11,-0.8616,-0.6707,0.0000,0.0000
3,LOW,2025-10-17,GLOBEX,0,2025-10-17,2025-10,-0.6420,-0.8170,0.0000,0.0000
3,LOW,2025-10-17,RTH,0,2025-10-17,2025-10,-0.9677,-1.1395,0.0000,0.0000
3,LOW,2025-10-23,RTH,1,2025-10-23,2025-10,-1.0950,-1.1057,0.0000,0.0000
3,LOW,2025-10-23,RTH,1,2025-10-23,2025-10,-0.9568,-0.8999,0.0000,0.0000
3,LOW,2025-10-23,RTH,0,2025-10-23,2025-10,-0.8349,-0.9047,0.0000,0.0000
3,LOW,2025-10-24,GLOBEX,0,2025-10-24,2025-10,-0.6625,-1.1898,0.0000,0.0000
3,LOW,2025-10-24,GLOBEX,1,2025-10-24,2025-10,-1.1898,-1.1173,0.0000,0.0000
3,LOW,2025-10-27,GLOBEX,0,2025-10-27,2025-10,-0.7426,-0.6871,0.0000,0.0000
3,LOW,2025-11-07,RTH,0,2025-11-07,2025-11,-1.0451,-0.8835,0.0000,0.0000
3,LOW,2025-11-07,RTH,1,2025-11-07,2025-11,-1.0852,-0.8909,0.0000,0.0000
