date,session,swing_width,type,confirmation_window_hours,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2025-09-17,RTH,5,HIGH,1,5,20.00,-1.7076,-1.4519,-1.5331,-0.4700,-1.2288,-1.5641,-4.7960,1,24319.00,24298.25,24329.22,24357.11,1,1,0,0,0,10.22,38.11,18.43,74.23
2025-09-17,RTH,3,HIGH,1,5,13.25,-1.7076,-1.3729,-1.5331,-0.4749,-1.2288,-1.5425,-4.7793,1,24319.00,24298.25,24329.22,24357.11,1,1,0,0,0,10.22,38.11,18.43,74.23
2026-07-05,RTH,3,HIGH,1,7,2.17,-1.0143,-1.2225,-1.6660,-0.4830,-1.1137,-1.5014,-4.7641,1,29952.25,29922.50,29980.49,30057.61,1,0,0,1,0,28.24,-29.75,54.49,-61.50
2026-07-05,RTH,3,HIGH,1,6,0.58,-1.1514,-1.2829,-1.6090,-0.4841,-1.1364,-1.5179,-4.7475,1,29952.25,29922.50,29980.49,30057.61,1,0,0,1,0,28.24,-29.75,54.49,-61.50
2026-07-05,RTH,5,HIGH,1,7,3.25,-1.0143,-1.1327,-1.6660,-0.4822,-1.1137,-1.4769,-4.7388,1,29952.25,29922.50,29980.49,30057.61,1,0,0,1,0,28.24,-29.75,54.49,-61.50
2025-10-10,RTH,3,LOW,1,5,0.58,-1.3059,-1.3889,-1.5331,-0.4841,-1.1621,-1.5469,-4.7262,1,24982.25,25022.00,24972.62,24946.32,0,0,1,1,0,-39.75,-39.75,-81.50,-81.50
2026-07-05,RTH,5,HIGH,1,4,0.92,-2.1445,-1.2410,-1.4267,-0.4839,-1.3013,-1.5065,-4.7185,1,29963.25,29940.00,29991.49,30068.61,0,0,1,1,0,-23.25,-23.25,-48.50,-48.50
2026-07-05,RTH,3,HIGH,1,4,0.75,-2.1445,-1.2358,-1.4267,-0.4840,-1.3013,-1.5051,-4.7172,1,29963.25,29940.00,29991.49,30068.61,0,0,1,1,0,-23.25,-23.25,-48.50,-48.50
2025-09-17,GLOBEX,3,LOW,1,5,4.42,-0.9913,-1.0737,-1.5331,-0.4814,-1.1098,-1.4608,-4.5851,1,24269.50,24279.25,24259.28,24231.39,0,0,1,1,0,-9.75,-9.75,-21.50,-21.50
2026-09-07,RTH,3,HIGH,1,4,11.67,-1.1775,-1.1382,-1.4267,-0.4761,-1.1408,-1.4784,-4.5220,1,29605.00,29593.00,29617.87,29653.00,0,0,1,1,0,-12.00,-12.00,-26.00,-26.00
2025-09-17,RTH,3,LOW,1,4,1.83,-0.7545,-1.3586,-1.4267,-0.4832,-1.0705,-1.5386,-4.5191,1,24251.00,24264.25,24240.78,24212.89,1,0,0,1,0,10.22,-13.25,18.43,-28.50
2025-10-31,RTH,3,HIGH,1,5,1.27,-0.8686,-0.8713,-1.5331,-0.4836,-1.0895,-1.4055,-4.5117,1,26368.00,26338.25,26382.89,26423.56,0,0,1,1,0,-29.75,-29.75,-61.50,-61.50
2025-10-31,RTH,5,HIGH,1,5,3.08,-0.8686,-0.8649,-1.5331,-0.4823,-1.0895,-1.4038,-4.5086,1,26368.00,26338.25,26382.89,26423.56,0,0,1,1,0,-29.75,-29.75,-61.50,-61.50
2025-09-17,RTH,5,LOW,1,4,2.00,-0.7545,-1.3047,-1.4267,-0.4831,-1.0705,-1.5239,-4.5042,1,24251.00,24264.25,24240.78,24212.89,1,0,0,1,0,10.22,-13.25,18.43,-28.50
2025-11-12,RTH,3,LOW,1,5,31.27,-0.5722,-0.8578,-1.5331,-0.4619,-1.0403,-1.4018,-4.4370,1,25833.00,25850.00,25818.33,25778.27,0,0,1,1,0,-17.00,-17.00,-36.00,-36.00
2025-09-17,GLOBEX,5,HIGH,1,4,2.50,-0.9555,-0.9087,-1.4267,-0.4827,-1.1039,-1.4157,-4.4291,1,24290.50,24284.25,24300.72,24328.61,1,1,0,0,0,10.22,38.11,18.43,74.23
2025-09-17,GLOBEX,3,LOW,1,4,8.50,-0.7438,-1.0354,-1.4267,-0.4784,-1.0688,-1.4503,-4.4242,1,24289.50,24300.25,24279.28,24251.39,1,1,0,0,0,10.22,38.11,18.43,74.23
2025-09-17,RTH,5,HIGH,1,3,5.17,-1.0158,-1.4423,-1.2672,-0.4808,-1.1139,-1.5615,-4.4234,1,24329.25,24322.75,24339.47,24367.36,1,0,0,1,0,10.22,-6.50,18.43,-15.00
2025-10-31,RTH,3,HIGH,1,4,2.08,-0.8537,-0.8722,-1.4267,-0.4830,-1.0870,-1.4058,-4.4025,1,26368.00,26338.25,26382.89,26423.56,0,0,1,1,0,-29.75,-29.75,-61.50,-61.50
2025-09-17,RTH,3,HIGH,1,3,5.00,-1.0158,-1.3564,-1.2672,-0.4809,-1.1139,-1.5380,-4.4000,1,24329.25,24322.75,24339.47,24367.36,1,0,0,1,0,10.22,-6.50,18.43,-15.00
2025-09-17,GLOBEX,3,HIGH,1,4,2.33,-0.9555,-0.7986,-1.4267,-0.4829,-1.1039,-1.3857,-4.3992,1,24290.50,24284.25,24300.72,24328.61,1,1,0,0,0,10.22,38.11,18.43,74.23
2025-10-09,RTH,3,HIGH,1,3,45.08,-1.3145,-1.2150,-1.2672,-0.4519,-1.1635,-1.4994,-4.3819,1,25494.00,25479.00,25503.75,25530.38,0,0,1,1,0,-15.00,-15.00,-32.00,-32.00
2025-10-21,RTH,3,HIGH,1,5,286.58,-1.0392,-1.0306,-1.5331,-0.2767,-1.1178,-1.4490,-4.3766,1,25544.00,25522.00,25557.98,25596.13,0,0,1,1,0,-22.00,-22.00,-46.00,-46.00
2025-10-21,RTH,5,HIGH,1,5,286.82,-1.0392,-1.0234,-1.5331,-0.2765,-1.1178,-1.4470,-4.3745,1,25544.00,25522.00,25557.98,25596.13,0,0,1,1,0,-22.00,-22.00,-46.00,-46.00
