fired_at,setup_type,wave,current_wr,p_value,is_trigger
2026-07-29T18:03:00.000Z,IB_BEARISH,WAVE_1,0.417,0.000,1
2026-08-06T16:16:00.000Z,IB_BULLISH,WAVE_1,0.583,0.000,1
2026-08-13T14:29:00.000Z,IB_BULLISH,WAVE_1,0.500,0.000,1
2026-08-25T19:13:00.000Z,IB_BEARISH,WAVE_2,0.250,0.000,1
2026-08-28T04:35:35.517Z,PD_VAH_FADE_SHORT,WAVE_2,0.167,0.000,1
2026-08-31T14:31:00.000Z,IB_BEARISH,WAVE_2,0.250,0.000,1
2026-07-29T18:03:00.000Z,PORTFOLIO_AGGREGATE,WAVE_1,0.583,0.000,1
2026-08-13T16:12:00.000Z,PORTFOLIO_AGGREGATE,WAVE_1,0.625,0.000,1
2026-08-17T16:05:00.000Z,PORTFOLIO_AGGREGATE,WAVE_1,0.597,0.017,1
2026-08-21T15:49:00.000Z,PORTFOLIO_AGGREGATE,WAVE_2,0.528,0.000,1
2026-08-25T22:00:02.041Z,PORTFOLIO_AGGREGATE,WAVE_2,0.476,0.017,1
2026-08-28T01:26:33.636Z,PORTFOLIO_AGGREGATE,WAVE_2,0.438,0.000,1
2026-08-28T14:20:00.000Z,PORTFOLIO_AGGREGATE,WAVE_2,0.417,0.000,1
