id,trade_date,setup_type,fired_at,actual_pnl,prior_id,prior_resolved_at
54090,2026-07-15,VWAP_MAGNET_LONG,2026-07-15T16:06:00.000Z,38,52128,2026-07-15T14:43:00.000Z
58681,2026-07-16,OR5_LOW_FADE_LONG,2026-07-16T14:49:00.000Z,-142,58680,2026-07-16T14:47:00.000Z
59061,2026-07-17,IB_BULLISH,2026-07-17T15:04:00.000Z,648.5,59056,2026-07-17T14:46:00.000Z
59119,2026-07-17,IB_HIGH_FADE_SHORT,2026-07-17T18:30:00.000Z,64,59109,2026-07-17T18:11:00.000Z
59121,2026-07-17,IB_HIGH_FADE_SHORT,2026-07-17T18:54:00.000Z,64,59119,2026-07-17T18:32:00.000Z
65468,2026-07-20,IB_BEARISH,2026-07-20T16:56:00.000Z,90,65448,2026-07-20T16:55:00.000Z
65646,2026-07-20,VWAP_MAGNET_LONG,2026-07-20T19:56:00.000Z,-6.5,65642,2026-07-20T19:55:00.000Z
65655,2026-07-20,VWAP_MAGNET_LONG,2026-07-20T20:01:00.000Z,-62,65652,2026-07-20T20:00:00.000Z
66373,2026-07-22,IB_BULLISH,2026-07-22T15:21:00.000Z,60,66333,2026-07-22T15:20:00.000Z
66397,2026-07-22,IB_BULLISH,2026-07-22T15:31:00.000Z,-160,66373,2026-07-22T15:26:00.000Z
66927,2026-07-22,STOP_SWEEP_SHORT,2026-07-22T18:49:00.000Z,-46,66787,2026-07-22T18:41:00.000Z
67011,2026-07-22,STOP_SWEEP_SHORT,2026-07-22T19:11:00.000Z,58,66927,2026-07-22T18:55:00.000Z
67194,2026-07-22,STOP_SWEEP_SHORT,2026-07-22T20:00:00.000Z,58,67189,2026-07-22T19:59:00.000Z
67235,2026-07-22,STOP_SWEEP_SHORT,2026-07-22T20:13:00.000Z,-79,67214,2026-07-22T20:04:00.000Z
67539,2026-07-23,FAILED_AUCTION_LONG,2026-07-23T17:34:00.000Z,-82,67502,2026-07-23T17:05:00.000Z
67536,2026-07-23,IB_BEARISH,2026-07-23T17:34:00.000Z,88,67499,2026-07-23T17:05:00.000Z
67542,2026-07-23,TRT_MAH_SHORT,2026-07-23T19:48:00.000Z,-244.5,67501,2026-07-23T17:39:00.000Z
67540,2026-07-23,IB_BEARISH,2026-07-23T19:48:00.000Z,-176,67536,2026-07-23T17:40:00.000Z
67543,2026-07-23,FAILED_AUCTION_LONG,2026-07-23T19:48:00.000Z,68,67539,2026-07-23T17:40:00.000Z
67541,2026-07-23,TRT_SHORT,2026-07-23T19:48:00.000Z,-244.5,67500,2026-07-23T17:39:00.000Z
68022,2026-07-24,IB_BEARISH,2026-07-24T18:29:00.000Z,88,68011,2026-07-24T18:28:00.000Z
68147,2026-07-24,VWAP_MAGNET_LONG,2026-07-24T19:07:00.000Z,38,68062,2026-07-24T18:43:00.000Z
68261,2026-07-24,VWAP_MAGNET_LONG,2026-07-24T19:42:00.000Z,38,68227,2026-07-24T19:31:00.000Z
68279,2026-07-24,VWAP_MAGNET_LONG,2026-07-24T19:50:00.000Z,38,68261,2026-07-24T19:44:00.000Z
72081,2026-07-28,IB_HIGH_FADE_SHORT,2026-07-28T16:36:55.263Z,-108,72072,2026-07-28T16:30:00.000Z
72133,2026-07-28,IB_HIGH_FADE_SHORT,2026-07-28T17:24:41.965Z,64,72121,2026-07-28T17:21:00.000Z
72141,2026-07-28,IB_HIGH_FADE_LONG,2026-07-28T17:30:20.647Z,64,72135,2026-07-28T17:28:00.000Z
72153,2026-07-28,IB_HIGH_FADE_LONG,2026-07-28T17:41:40.927Z,-108,72141,2026-07-28T17:35:00.000Z
72234,2026-07-28,OR5_MID_FADE_LONG,2026-07-28T18:43:40.511Z,62,72194,2026-07-28T18:33:00.000Z
72280,2026-07-28,CAM_S3_FADE_SHORT,2026-07-28T19:23:36.617Z,84,72256,2026-07-28T19:13:00.000Z
72326,2026-07-28,PD_LOW_FADE_LONG,2026-07-28T20:00:56.890Z,126,72299,2026-07-28T20:00:47.888Z
72335,2026-07-28,OR5_MID_FADE_LONG,2026-07-28T20:08:11.567Z,62,72327,2026-07-28T20:05:00.000Z
79537,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T14:34:00.000Z,-62,79529,2026-07-29T14:32:00.000Z
79597,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T14:51:00.000Z,38,79596,2026-07-29T14:50:00.000Z
79690,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T15:19:00.000Z,38,79664,2026-07-29T15:16:00.000Z
79716,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T15:27:00.000Z,38,79690,2026-07-29T15:23:00.000Z
79741,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T15:38:00.000Z,-62,79716,2026-07-29T15:36:00.000Z
79754,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T15:42:00.000Z,38,79751,2026-07-29T15:41:00.000Z
79821,2026-07-29,VWAP_MAGNET_LONG,2026-07-29T16:00:00.000Z,-62,79801,2026-07-29T15:59:00.000Z
79867,2026-07-29,VWAP_MAGNET_LONG,2026-07-29T16:09:00.000Z,-62,79849,2026-07-29T16:08:00.000Z
79868,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T16:09:00.000Z,-62,79850,2026-07-29T16:08:00.000Z
79929,2026-07-29,GLOBEX_VWAP_MAGNET_LONG,2026-07-29T16:23:00.000Z,38,79918,2026-07-29T16:22:00.000Z
79928,2026-07-29,IB_BEARISH,2026-07-29T16:23:00.000Z,-102,79848,2026-07-29T16:22:00.000Z
80289,2026-07-29,IB_BEARISH,2026-07-29T18:03:00.000Z,88,80254,2026-07-29T18:00:00.000Z
80324,2026-07-29,VWAP_MAGNET_SHORT,2026-07-29T18:12:00.000Z,38,80290,2026-07-29T18:04:00.000Z
80323,2026-07-29,IB_BEARISH,2026-07-29T18:12:00.000Z,88,80294,2026-07-29T18:06:00.000Z
80345,2026-07-29,VALUE_AREA_RESPONSIVE_LONG,2026-07-29T18:17:00.000Z,-62,80335,2026-07-29T18:15:00.000Z
80539,2026-07-29,IB_BEARISH,2026-07-29T19:18:00.000Z,88,80409,2026-07-29T18:40:00.000Z
80596,2026-07-29,IB_BEARISH,2026-07-29T19:33:00.000Z,88,80582,2026-07-29T19:32:00.000Z
80600,2026-07-29,STOP_SWEEP_LONG,2026-07-29T19:34:00.000Z,-88.5,80583,2026-07-29T19:33:00.000Z
