id,trade_date,setup_type,bet_class,is_long,res_time,base_distance,pressure,bucket_a,bucket_b,f5,f5_norm,f10,f10_norm,f20,f20_norm,f30,f30_norm
106256,2026-08-26,PW_LOW_FADE_LONG,VALUE_FADE,true,2026-08-26T14:50:00.000Z,38.00,0.315197,PASS,TOP_TERCILE,14.00,0.368,14.00,0.368,29.00,0.763,29.00,0.763
106398,2026-08-26,IB_MID_SCALP_FADE_SHORT,VALUE_FADE,false,2026-08-26T16:39:00.000Z,38.00,0.253945,PASS,TOP_TERCILE,12.75,0.336,12.75,0.336,12.75,0.336,12.75,0.336
104045,2026-08-25,STOP_SWEEP_LONG,VALUE_FADE,true,2026-08-25T14:38:00.000Z,30.00,0.234760,PASS,TOP_TERCILE,15.00,0.500,15.00,0.500,15.00,0.500,15.00,0.500
101287,2026-08-20,ONL_FADE_SHORT,VALUE_FADE,false,2026-08-20T15:38:00.000Z,43.00,0.232685,PASS,TOP_TERCILE,6.75,0.157,14.00,0.326,14.00,0.326,14.00,0.326
99883,2026-08-19,OR30_LOW_FADE_LONG,VALUE_FADE,true,2026-08-19T14:29:00.000Z,40.00,0.229529,PASS,TOP_TERCILE,34.50,0.863,84.50,2.112,92.50,2.313,142.00,3.550
112445,2026-09-03,MPP_FADE_SHORT,VALUE_FADE,false,2026-09-03T14:34:00.000Z,37.00,0.228954,PASS,TOP_TERCILE,8.00,0.216,14.75,0.399,14.75,0.399,41.50,1.122
106601,2026-08-26,C_PAIRED_LONG,CONTINUATION_LEGACY,true,2026-08-26T18:09:00.000Z,8.00,0.210054,PASS,TOP_TERCILE,1.25,0.156,1.25,0.156,1.50,0.188,12.75,1.594
112451,2026-09-03,IB_LOW_FADE_LONG,VALUE_FADE,true,2026-09-03T13:39:00.000Z,50.00,0.207203,PASS,TOP_TERCILE,30.00,0.600,39.00,0.780,46.00,0.920,46.00,0.920
112367,2026-09-03,PM_VAL_FADE_LONG,VALUE_FADE,true,2026-09-03T13:39:00.000Z,38.00,0.207203,PASS,TOP_TERCILE,30.00,0.789,39.00,1.026,46.00,1.211,46.00,1.211
110910,2026-09-01,OR5_HIGH_FADE_LONG,VALUE_FADE,true,2026-09-01T14:30:00.000Z,38.00,0.204288,PASS,TOP_TERCILE,28.75,0.757,33.25,0.875,81.75,2.151,81.75,2.151
106622,2026-08-26,C_PAIRED_LONG,CONTINUATION_LEGACY,true,2026-08-26T18:33:00.000Z,14.00,0.197531,PASS,TOP_TERCILE,1.75,0.125,1.75,0.125,28.50,2.036,56.75,4.054
108887,2026-08-28,TRT_SHORT,VALUE_FADE,false,2026-08-28T17:56:00.000Z,14.00,0.190594,PASS,TOP_TERCILE,4.50,0.321,5.50,0.393,12.75,0.911,29.25,2.089
100342,2026-08-19,IB_MID_SCALP_FADE_SHORT,VALUE_FADE,false,2026-08-19T18:17:00.000Z,43.00,0.182654,PASS,TOP_TERCILE,0.75,0.017,0.75,0.017,0.75,0.017,0.75,0.017
108541,2026-08-28,3M_POC_FADE_LONG,VALUE_FADE,true,2026-08-28T13:40:00.000Z,41.00,0.176221,PASS,TOP_TERCILE,9.25,0.226,10.75,0.262,13.50,0.329,13.50,0.329
111641,2026-09-02,PD_IB_MID_FADE_LONG,VALUE_FADE,true,2026-09-02T14:18:00.000Z,38.00,0.168380,PASS,TOP_TERCILE,37.50,0.987,38.00,1.000,62.00,1.632,62.00,1.632
