entryTime,direction,entryPrice,stopPrice,stallMid,priorType,confluenceCount,atr,volTag,maxVolZ,fwd30,fwd60,fwd120,fwd240,mfe,mae
2025-09-01 19:40:00,LONG,23437.25,23423.31,23437.625,LOW,3,247.2,CLEAN,-0.45,3.75,20.75,30.5,-0.25,47.25,21.75
2025-09-01 20:10:00,LONG,23441,23431.31,23444.5,LOW,3,247.2,CLEAN,-0.61,17,41.75,-5.75,0.75,43.50,25.50
2025-09-01 23:55:00,LONG,23438.25,23429.06,23438.125,LOW,3,247.2,CLEAN,-0.71,11.75,-0.75,-25.25,-160,13.75,168.25
2025-09-02 00:15:00,LONG,23442.75,23428.96,23438.875,LOW,3,239.5,CLEAN,-0.78,-3.25,-29,-17,-127.75,9.25,175.00
2025-09-02 02:50:00,LONG,23437.75,23426.96,23437.375,LOW,3,239.5,CLEAN,-0.87,-59.25,-155.25,-122.25,-189.25,14.25,206.00
2025-09-09 19:20:00,SHORT,23882,23899.47,23886,HIGH,2,236.2,CLEAN,-0.26,-7,-13.75,-5.5,-32,8.00,35.75
2025-09-09 19:45:00,SHORT,23883.75,23893.72,23881.625,HIGH,1,236.2,CLEAN,-0.65,-10.5,-4,-15.5,-31,5.75,35.00
2025-09-09 20:05:00,SHORT,23888.25,23896.22,23885.375,HIGH,2,236.2,CLEAN,-0.56,-9,7.25,-11,-30.75,10.25,34.50
2025-09-09 21:00:00,SHORT,23881.5,23900.47,23887.125,HIGH,2,236.2,CLEAN,-0.59,-21.5,-21.25,-33.5,-36.75,3.50,43.50
2025-09-09 21:20:00,SHORT,23887.5,23892.72,23883,HIGH,1,236.2,CLEAN,-0.87,-12.75,-17.5,-26.5,-31.75,0.75,37.50
2025-09-10 00:00:00,SHORT,23920,23925.31,23916.75,HIGH,2,228.0,CLEAN,-0.87,1,1.75,3.25,-9.25,8.00,34.00
2025-09-10 01:10:00,SHORT,23917.75,23928.06,23917.75,HIGH,1,228.0,CLEAN,0.54,0.75,-8.5,-33.25,23.5,32.50,36.25
2025-09-10 01:55:00,SHORT,23919,23925.56,23917.25,HIGH,2,228.0,CLEAN,-0.95,-17.5,-25.25,-19,9.75,36.75,35.00
2025-09-10 05:20:00,SHORT,23888.25,23900.31,23889,HIGH,1,228.0,CLEAN,-0.72,-19.25,-28.25,-38.75,-117.75,2.50,156.00
2025-09-10 07:10:00,SHORT,23928,23934.06,23925.625,HIGH,1,228.0,CLEAN,-1.03,-26.25,-20.25,-70.5,-41,27.75,116.25
2025-09-10 07:55:00,SHORT,23948.25,23962.06,23951,HIGH,1,228.0,CLEAN,-0.38,9.25,-56.25,18,-1.5,48.00,96.00
2025-09-10 18:40:00,LONG,23886.75,23865.19,23878.25,LOW,2,228.0,CLEAN,-0.51,15.75,11.5,14.5,20.75,30.00,15.25
2025-09-17 06:55:00,LONG,24260.25,24248.42,24260.625,LOW,2,216.7,CLEAN,-0.90,7.5,2,24.5,-80.25,40.25,89.75
2025-09-17 08:00:00,LONG,24264,24247.67,24260.375,LOW,2,216.7,CLEAN,-1.07,12.75,20.75,-33.5,-102.25,36.50,102.25
2025-10-03 01:05:00,SHORT,25428.25,25432.33,25422.375,HIGH,1,203.8,CLEAN,-0.99,35.5,49.5,99.75,151.25,161.75,8.50
2025-10-07 00:50:00,SHORT,25428.75,25434.94,25423.5,HIGH,2,197.2,CLEAN,-0.98,-4.75,-36.25,-60,157.25,187.50,94.25
2025-10-24 02:00:00,SHORT,25602,25608.26,25589.5,HIGH,1,313.2,CLEAN,-0.95,-8,-27.75,-107,-150.75,14.25,186.25
2025-10-24 03:55:00,SHORT,25587.75,25616.26,25598.875,HIGH,1,313.2,CLEAN,-0.82,-31.25,-29.5,-157.75,-178.5,0.00,202.25
2025-11-06 03:10:00,LONG,25908.25,25890.54,25905,LOW,2,335.5,CLEAN,-0.80,90.75,115.75,144,-178.75,169.25,242.25
2025-11-12 01:35:00,SHORT,26029.25,26035.47,26024.5,HIGH,3,311.2,CLEAN,-0.78,-43.75,-45.25,-16.5,159.25,196.25,62.75
2025-11-18 00:30:00,LONG,24989.5,24977.67,24997.125,LOW,4,329.2,CLEAN,-0.52,-21.5,-83,-33,54,113.75,129.00
2025-11-27 07:40:00,LONG,25298.5,25284.97,25301,LOW,5,438.9,CLEAN,-0.20,-3.75,12.5,0.25,1.5,19.25,12.75
2025-11-27 08:00:00,LONG,25301,25285.22,25298.75,LOW,6,438.9,CLEAN,-0.15,7.5,-1.25,-5.5,-3.5,16.75,15.25
2025-11-27 08:20:00,LONG,25300,25281.47,25297.875,LOW,6,438.9,CLEAN,-0.19,8,2.25,6.25,-3.75,17.75,14.25
2025-12-01 04:55:00,LONG,25283.25,25264.84,25286.875,LOW,1,420.4,COILED,1.33,30.5,29.75,11.75,-17.25,50.25,72.50
2025-12-01 06:40:00,LONG,25282,25271.34,25293,LOW,2,420.4,CLEAN,0.43,-16.25,-45.5,-26.75,51.25,107.00,72.75
2025-12-01 07:00:00,LONG,25279.5,25270.09,25293,LOW,2,420.4,CLEAN,0.44,-39.75,-47.5,-19.75,131.75,140.50,70.25
2025-12-02 01:25:00,SHORT,25339.25,25366.89,25346.375,HIGH,1,419.5,COILED,1.52,-30.25,-44.5,-17.5,-113.75,14.50,119.25
2025-12-02 06:10:00,SHORT,25491.25,25508.14,25489,HIGH,4,419.5,COILED,3.04,-0.25,15.5,-7.5,-143.25,33.25,163.50
2025-12-02 06:30:00,SHORT,25497,25517.14,25496.875,HIGH,3,419.5,COILED,1.77,12,33.25,7.75,-53.5,39.00,157.75
2025-12-02 06:50:00,SHORT,25491,25507.64,25491.5,HIGH,2,419.5,COILED,1.05,3,11.25,-1.5,-160.25,33.00,179.00
2025-12-02 08:10:00,SHORT,25498.75,25509.64,25489.375,HIGH,4,419.5,CLEAN,0.93,-8.75,-10,-135.75,-51,84.25,171.25
2025-12-02 23:55:00,SHORT,25659.5,25674.64,25661.75,HIGH,1,419.5,CLEAN,0.33,-13,-0.75,2.25,0,46.25,18.75
2025-12-03 00:15:00,SHORT,25671.75,25686.64,25668.125,HIGH,1,419.6,CLEAN,0.85,7.5,11,7,49,58.50,5.00
2025-12-03 00:35:00,SHORT,25666.25,25682.14,25668.875,HIGH,1,419.6,CLEAN,0.06,3,23.25,-2,32.25,53.00,10.50
2025-12-03 02:20:00,SHORT,25674,25684.39,25666.375,HIGH,1,419.6,CLEAN,0.81,19,45.25,56.25,45.25,68.75,2.75
2025-12-03 02:40:00,SHORT,25649.5,25685.14,25662.625,HIGH,2,419.6,COILED,1.19,-2.5,6.5,25.25,12.75,44.25,18.25
2025-12-03 08:10:00,SHORT,25676.25,25684.89,25665,HIGH,1,419.6,CLEAN,0.76,19.75,242.5,160.5,78.5,254.75,1.50
2025-12-04 04:50:00,SHORT,25688,25700.80,25677.625,HIGH,3,415.0,COILED,2.62,9.5,39.75,33.5,56.75,69.75,3.25
2025-12-04 05:10:00,SHORT,25675,25699.55,25683,HIGH,2,415.0,CLEAN,0.15,18,35.25,10.25,-49.25,56.75,57.50
2025-12-04 05:30:00,SHORT,25663,25689.55,25672.125,HIGH,1,415.0,CLEAN,0.47,10.75,17.75,3.25,96.5,103.00,69.50
2025-12-04 18:45:00,LONG,25619,25600.20,25621.5,LOW,2,415.0,CLEAN,0.78,3.5,31.5,63.5,72.75,94.25,8.00
2025-12-04 19:05:00,LONG,25616.75,25602.70,25620,LOW,2,415.0,CLEAN,0.06,32.5,43.25,72.75,98,99.75,1.75
2025-12-04 21:10:00,SHORT,25692,25700.30,25684.25,HIGH,2,415.0,COILED,1.32,-4.25,4.25,-20.5,-32.25,9.75,38.00
2025-12-04 22:00:00,SHORT,25689.25,25705.80,25689.875,HIGH,2,415.0,COILED,1.07,0.25,-22.25,-25.75,-27.5,6.00,40.75
2025-12-04 22:40:00,SHORT,25692.75,25705.05,25690.25,HIGH,1,415.0,CLEAN,0.27,-19.75,-10.5,-27,-25.75,2.75,37.25
2025-12-05 01:15:00,SHORT,25721.25,25738.15,25725.375,HIGH,1,407.3,CLEAN,0.85,5.5,9,-21.5,-5.75,19.00,34.50
2025-12-05 03:00:00,SHORT,25735,25753.40,25730.125,HIGH,1,407.3,COILED,2.08,-7.75,3.25,17.75,6.25,30.75,20.75
2025-12-05 03:50:00,SHORT,25727.75,25755.90,25736.5,HIGH,1,407.3,CLEAN,0.69,10,15.25,6.75,29.5,39.25,9.00
2025-12-05 05:15:00,SHORT,25727,25744.90,25724.625,HIGH,1,407.3,CLEAN,0.39,2.5,8,21,78.25,147.25,9.00
2025-12-05 05:40:00,SHORT,25731.5,25739.65,25725.5,HIGH,1,407.3,CLEAN,-0.14,11.25,13.25,26.5,23,151.75,45.75
2025-12-05 07:00:00,SHORT,25728.75,25744.15,25724.625,HIGH,1,407.3,CLEAN,0.50,13.25,21,99.25,-13.5,149.00,139.25
2025-12-09 08:20:00,LONG,25641.25,25629.75,25651.75,LOW,1,387.5,CLEAN,0.34,-31.5,-41,7,61.5,91.75,81.25
2025-12-09 20:05:00,LONG,25641.5,25632.75,25652.5,LOW,1,387.5,COILED,1.06,13.25,18.75,42.75,33.25,68.50,2.25
2025-12-09 20:30:00,LONG,25647.25,25636.00,25650.125,LOW,1,387.5,CLEAN,0.71,8.25,25,19.75,35.5,62.75,1.00
2025-12-09 20:50:00,LONG,25654,25638.50,25653.125,LOW,1,387.5,COILED,1.79,15.75,19.5,13.25,26.5,56.00,2.00
2025-12-10 01:35:00,SHORT,25710.5,25720.88,25705.25,HIGH,1,381.4,CLEAN,0.52,7.25,-10.25,-20.5,59.5,94.50,35.25
2025-12-10 01:55:00,SHORT,25703.75,25720.38,25705.5,HIGH,1,381.4,CLEAN,0.91,-10.5,-24.5,-16.75,53.5,87.75,42.00
2025-12-10 02:20:00,SHORT,25714.75,25725.63,25708.25,HIGH,2,381.4,COILED,1.14,-9.25,-19.25,4.75,47.25,98.75,31.00
2025-12-10 02:40:00,SHORT,25725.5,25735.13,25719.25,HIGH,3,381.4,CLEAN,0.84,-9.5,4,18.75,68.5,109.50,20.25
2025-12-10 03:05:00,SHORT,25740.75,25752.88,25733,HIGH,1,381.4,COILED,1.28,9.75,10.25,34.5,95.25,124.75,5.00
2025-12-10 03:25:00,SHORT,25731.25,25753.38,25736.625,HIGH,1,381.4,CLEAN,0.29,10.75,16.5,98,84,115.25,8.00
2025-12-10 04:00:00,SHORT,25721.5,25734.63,25716.125,HIGH,3,381.4,CLEAN,0.70,12.25,1.75,67.5,72,105.50,12.50
2025-12-10 04:20:00,SHORT,25710,25739.88,25718,HIGH,3,381.4,CLEAN,0.35,-4,32.75,42.5,9,94.00,24.00
2025-12-10 04:40:00,SHORT,25706.75,25724.63,25711.25,HIGH,1,381.4,CLEAN,-0.36,2.75,54,49.75,24.25,90.75,27.25
2025-12-10 05:00:00,SHORT,25719.75,25741.63,25720.125,HIGH,3,381.4,COILED,1.46,73,65.75,78.5,60,103.75,1.00
2025-12-10 05:50:00,LONG,25657.25,25633.62,25651.875,LOW,2,381.4,CLEAN,0.71,10.25,11,-18.25,-32.5,62.75,90.25
2025-12-10 07:20:00,LONG,25640.25,25624.37,25641.625,LOW,1,381.4,CLEAN,0.84,-1.25,60.75,14.75,-2.25,79.75,111.50
2025-12-10 07:40:00,LONG,25634.25,25619.62,25640.125,LOW,1,381.4,CLEAN,0.19,31,48.25,8.25,-8.75,85.75,105.50
2025-12-10 08:00:00,LONG,25649.5,25622.12,25642.625,LOW,2,381.4,CLEAN,0.12,35.25,10.25,-23.5,-3.5,70.50,120.75
2025-12-10 18:35:00,SHORT,25732.25,25742.13,25729.75,HIGH,1,381.4,CLEAN,0.76,18.75,31.75,52.5,270.5,349.25,6.75
2025-12-10 18:55:00,SHORT,25730.5,25746.63,25732.75,HIGH,1,381.4,CLEAN,0.19,1.5,46.5,69.75,244,347.50,3.50
2025-12-17 01:45:00,SHORT,25409.5,25425.07,25404.375,HIGH,3,366.2,COILED,1.29,3.75,-8.5,-12,-75,28.25,82.25
2025-12-17 02:40:00,SHORT,25405.75,25425.82,25406.75,HIGH,4,366.2,COILED,1.09,-2.75,-18.25,-49.75,-84.75,17.50,93.25
2025-12-17 03:20:00,SHORT,25409,25427.32,25406.25,HIGH,4,366.2,CLEAN,0.39,3.5,-33.5,-59.5,-76.5,15.50,90.00
2025-12-17 04:10:00,SHORT,25423.5,25432.57,25411.625,HIGH,3,366.2,CLEAN,0.45,-32,-54.75,-50.25,-32.25,1.50,85.00
2025-12-23 01:25:00,LONG,25657.75,25650.51,25667.125,LOW,2,286.9,COILED,1.14,10,15.75,39,49,70.75,4.50
2025-12-23 01:45:00,LONG,25660.5,25647.51,25661.875,LOW,1,286.9,COILED,1.39,3.5,8.75,31.75,45.5,68.00,2.50
2025-12-23 02:05:00,LONG,25666,25653.01,25665.875,LOW,1,286.9,CLEAN,0.13,3.5,24.5,31.25,35,62.50,8.00
2025-12-23 02:25:00,LONG,25673.5,25652.26,25667,LOW,2,286.9,CLEAN,0.12,-2.75,23.25,43.25,24,55.00,11.00
2025-12-29 01:25:00,LONG,25835.75,25816.42,25832.25,LOW,3,266.6,CLEAN,0.65,-19.5,-24.75,-58.25,-76,3.75,103.75
2025-12-29 22:50:00,LONG,25736.75,25725.67,25735.875,LOW,1,266.6,CLEAN,0.01,6.5,11.75,9,-36,18.25,52.00
2025-12-30 00:30:00,LONG,25730,25723.42,25736.5,LOW,5,266.7,CLEAN,0.93,7.25,-6,-43.25,17.75,20.75,45.25
2025-12-30 01:15:00,LONG,25727.75,25722.42,25736.125,LOW,5,266.7,CLEAN,0.25,2.25,-23.75,-6,14.5,24.50,43.00
2025-12-30 01:50:00,LONG,25728.5,25716.92,25727,LOW,4,266.7,CLEAN,-0.14,-35.5,-27.75,9.25,-0.75,23.75,43.75
2025-12-30 02:35:00,LONG,25692.5,25679.42,25694.75,LOW,6,266.7,COILED,2.11,30.75,38.5,55,18.5,59.75,1.75
2025-12-30 02:55:00,LONG,25703.75,25685.42,25698.5,LOW,5,266.7,CLEAN,-0.20,18.25,35,35.25,28.75,48.50,1.25
2025-12-30 03:40:00,LONG,25728.75,25715.67,25728.125,LOW,2,266.7,CLEAN,-0.34,8.25,10,11.25,5.25,23.50,26.25
2025-12-30 05:40:00,LONG,25740,25724.17,25736.875,LOW,5,266.7,CLEAN,-0.12,-23.25,-25.5,-6,-48.75,4.75,58.25
2025-12-30 07:05:00,LONG,25737,25723.67,25734.625,LOW,3,266.7,CLEAN,-0.21,-7,-3.25,-27,15,37.75,62.75
2025-12-30 07:25:00,LONG,25728,25719.42,25734.125,LOW,3,266.7,CLEAN,0.11,-1.5,5.75,-35,46.25,65.75,53.75
2025-12-30 07:55:00,LONG,25726.5,25716.17,25729,LOW,4,266.7,CLEAN,-0.24,7.25,-12.75,30.25,-6.75,67.25,52.25
2025-12-30 08:15:00,LONG,25738.5,25718.17,25732.875,LOW,3,266.7,CLEAN,-0.11,-38.75,-17.75,-42,-22.5,55.25,64.25
2025-12-31 01:35:00,LONG,25589,25574.08,25587.75,LOW,1,258.6,COILED,1.25,1.25,17.75,-32.5,-10,20.75,36.50
2025-12-31 01:55:00,LONG,25596,25583.33,25592.875,LOW,2,258.6,CLEAN,0.18,3.5,2.25,-37,-11.5,13.75,43.50
2025-12-31 03:20:00,LONG,25583,25575.33,25589.5,LOW,1,258.6,CLEAN,0.01,-16.25,-10.75,-8,42.5,44.50,30.50
2025-12-31 05:45:00,LONG,25577.5,25570.83,25583.75,LOW,1,258.6,CLEAN,-0.15,8,27.5,48,26.75,139.25,0.50
2025-12-31 06:05:00,LONG,25590.5,25571.83,25586.375,LOW,1,258.6,CLEAN,-0.27,11.5,20,37.75,16.75,126.25,9.00
2025-12-31 06:25:00,LONG,25595.75,25576.33,25590.25,LOW,1,258.6,CLEAN,0.27,13.75,27,51.5,6.75,121.00,27.75
2026-01-07 18:00:00,SHORT,25838.25,25855.16,25839.875,HIGH,3,270.3,COILED,1.27,9.25,16.5,11.25,51.5,64.25,8.75
2026-01-08 20:10:00,LONG,25668.5,25658.16,25671.375,LOW,2,266.8,CLEAN,0.79,-30.5,-15,15.75,7.5,25.50,41.00
2026-01-08 22:40:00,LONG,25680.75,25660.66,25674.375,LOW,2,266.8,CLEAN,0.10,-11,-9.25,-9.75,-9,21.75,28.50
2026-01-08 23:00:00,LONG,25667.75,25659.41,25674.375,LOW,2,266.8,CLEAN,-0.02,1.75,10.25,25.5,7.5,34.75,15.50
2026-01-08 23:25:00,LONG,25670,25651.66,25665.125,LOW,2,266.8,CLEAN,0.73,7.25,11,11.25,20.5,32.50,17.75
2026-01-08 23:45:00,LONG,25668,25660.16,25671,LOW,2,266.8,CLEAN,-0.00,10.5,2,29,3.25,34.50,15.75
2026-01-09 07:05:00,SHORT,25743.75,25760.89,25745.875,HIGH,2,269.7,CLEAN,0.31,26.25,-0.25,-52.75,-141.25,128.25,144.00
2026-01-09 08:05:00,SHORT,25744,25757.89,25742.75,HIGH,3,269.7,CLEAN,0.53,-46.75,-52.5,101.75,-175.75,128.50,182.25
2026-01-23 01:50:00,SHORT,25707,25728.97,25713.5,HIGH,3,260.8,COILED,1.35,-16.25,17,109.5,143,166.75,17.75
2026-02-03 01:00:00,SHORT,25979,26002.84,25985.125,HIGH,1,304.4,CLEAN,0.93,-20.25,-12.75,-32,-1,20.75,48.75
2026-02-03 07:45:00,SHORT,25991.75,26001.34,25988.75,HIGH,1,304.4,CLEAN,0.07,-3.5,11.5,192,481,521.50,11.75
2026-02-03 08:05:00,SHORT,25997.5,26004.09,25987.375,HIGH,1,304.4,CLEAN,0.18,13.75,39.25,393.25,503.75,529.75,6.00
2026-02-09 18:30:00,SHORT,25347.5,25368.31,25348.5,HIGH,1,365.3,CLEAN,0.29,-9,16,40.75,39,69.00,25.50
2026-02-10 18:20:00,LONG,25281,25261.50,25278.375,LOW,1,375.1,CLEAN,-0.54,-8.25,-2,24,32.75,49.00,14.75
2026-02-10 18:40:00,LONG,25279.5,25260.25,25276.625,LOW,1,375.1,CLEAN,0.03,0.75,10,34.25,52.75,55.75,13.25
2026-02-10 19:00:00,LONG,25279,25264.25,25278.125,LOW,1,375.1,CLEAN,-0.30,3.5,24.75,30,58,66.50,12.75
2026-02-10 19:20:00,LONG,25279,25258.75,25276.25,LOW,1,375.1,CLEAN,-0.37,10.25,26,47.25,44,66.50,2.50
2026-02-10 19:40:00,LONG,25289.5,25269.00,25286,LOW,1,375.1,CLEAN,-0.24,20.75,24.25,19.75,13,56.00,3.75
2026-02-11 01:30:00,LONG,25273.25,25263.49,25281.25,LOW,3,375.6,CLEAN,-0.02,8.5,-2.25,-17.5,-89.25,16.75,127.00
2026-02-11 01:50:00,LONG,25276.25,25260.74,25277.125,LOW,1,375.6,CLEAN,0.20,9.25,-3.75,-22.75,-101,13.75,130.00
2026-02-11 02:35:00,LONG,25264.5,25255.24,25276.375,LOW,1,375.6,CLEAN,-0.16,-23.25,-9,-55.5,-25.25,21.00,118.25
2026-02-11 02:55:00,LONG,25271,25253.24,25273.125,LOW,1,375.6,CLEAN,-0.42,-34,-20.75,-65.75,-62,8.00,124.75
