entryTime,direction,entryPrice,stopPrice,stallMid,priorType,confluenceCount,atr,volTag,maxVolZ,fwd30,fwd60,fwd120,fwd240,mfe,mae
2025-09-01 11:35:00,SHORT,23504.25,23511.69,23500.75,HIGH,3,247.2,CLEAN,-1.65,15,1.5,19.75,48,76.00,5.25
2025-09-01 11:55:00,SHORT,23495.25,23510.19,23499.75,HIGH,3,247.2,CLEAN,-1.26,8,-7,33.5,21.5,67.00,14.25
2025-09-01 12:50:00,SHORT,23500.5,23511.44,23502,HIGH,3,247.2,CLEAN,-1.23,10.5,29.25,58,40,72.25,9.00
2025-09-08 16:55:00,SHORT,23798.5,23804.31,23795.625,HIGH,2,240.7,CLEAN,-0.76,-17,-26.75,-9.5,-15.25,7.75,31.75
2025-09-09 12:40:00,LONG,23812,23804.53,23815.75,LOW,6,236.2,CLEAN,-0.97,27,21.25,16.75,96,109.25,5.75
2025-10-01 13:35:00,SHORT,25221.5,25238.98,25228.25,HIGH,1,198.9,CLEAN,-1.18,-38,-54.25,-53.5,-92.5,4.75,101.50
2025-10-01 13:55:00,SHORT,25230,25233.98,25223.375,HIGH,2,198.9,CLEAN,-1.14,-40,-51.5,-29,-100,1.50,100.00
2025-10-06 15:05:00,SHORT,25485,25496.58,25487.75,HIGH,1,204.2,CLEAN,-1.00,43,84,74,2.5,107.00,38.00
2025-10-09 11:10:00,SHORT,25503,25511.39,25501.5,HIGH,3,206.8,CLEAN,-1.28,5,3.25,78,-96.5,82.00,96.50
2025-11-04 14:20:00,LONG,25925.5,25900.49,25916.25,LOW,1,325.3,CLEAN,-0.76,-65.5,-50.5,-131.5,-318.25,0.00,318.25
2025-11-27 09:05:00,LONG,25300.25,25282.22,25300,LOW,5,438.9,CLEAN,0.17,-5.5,-0.25,-3,20.25,28.00,14.50
2025-11-27 09:25:00,LONG,25301.5,25286.22,25301.75,LOW,5,438.9,CLEAN,-0.13,-4.75,2,0,20,26.75,15.75
2025-11-27 09:50:00,LONG,25291.75,25278.22,25300,LOW,5,438.9,CLEAN,-0.45,14.5,7.5,1.5,37.75,41.50,6.00
2025-11-27 10:10:00,LONG,25303,25281.47,25298.75,LOW,6,438.9,CLEAN,-0.46,-4.25,-7,-6.5,44.25,46.75,17.25
2025-11-27 10:30:00,LONG,25292.5,25283.22,25299.625,LOW,5,438.9,CLEAN,-0.46,-3.5,6.25,7.25,51,59.00,6.75
2025-11-27 10:50:00,LONG,25299.25,25281.22,25296.375,LOW,6,438.9,CLEAN,-0.46,-0.75,-6,0.75,44.75,52.25,13.50
2025-11-27 11:10:00,LONG,25296,25276.97,25294,LOW,7,438.9,CLEAN,-0.40,4,0.5,20.75,60,64.25,5.25
2025-11-27 11:30:00,LONG,25298.75,25284.72,25299,LOW,6,438.9,CLEAN,-0.42,-1.25,1,18.25,48.75,69.25,8.00
2025-11-27 11:50:00,LONG,25293.25,25281.97,25296.375,LOW,6,438.9,CLEAN,-0.46,3,6.75,36.25,52.75,74.75,0.00
2025-11-27 12:10:00,LONG,25296.5,25284.72,25296.75,LOW,6,438.9,CLEAN,-0.44,4.75,20.25,50.75,41.25,71.50,1.75
2025-11-27 12:30:00,LONG,25299.75,25285.97,25297.625,LOW,6,438.9,CLEAN,-0.51,14.5,17.25,43.75,43,68.25,2.25
2025-11-27 12:50:00,LONG,25300,25288.72,25300.25,LOW,5,438.9,CLEAN,-0.50,20.75,29.5,44,87.5,99.00,1.25
2025-12-02 08:30:00,SHORT,25489.25,25513.64,25494.125,HIGH,3,419.5,CLEAN,0.41,-28,-36.75,-61.25,-122.25,74.75,180.75
2025-12-03 08:35:00,SHORT,25665,25677.14,25654.125,HIGH,3,419.6,CLEAN,0.83,224.5,202.25,95,47.75,243.50,6.75
2025-12-03 13:45:00,SHORT,25648.5,25663.14,25640.875,HIGH,3,419.6,COILED,1.82,4.5,-7.75,-26,2,26.25,36.75
2025-12-03 14:15:00,SHORT,25644,25660.14,25638.75,HIGH,2,419.6,COILED,1.26,-12.25,-32.5,-4.5,-17.25,10.25,41.25
2025-12-03 14:35:00,SHORT,25650.75,25666.39,25648.875,HIGH,4,419.6,CLEAN,0.57,-17,-22.25,4,-6.5,17.00,34.50
2025-12-03 15:00:00,SHORT,25665.25,25684.39,25662.75,HIGH,2,419.6,COILED,1.32,-4,10.25,15.25,33.75,43.25,20.00
2025-12-03 15:20:00,SHORT,25678,25693.64,25672.125,HIGH,2,419.6,COILED,1.30,30,29.5,25.75,27,56.00,7.25
2025-12-03 15:40:00,SHORT,25676.75,25693.64,25676.125,HIGH,2,419.6,COILED,1.81,27.75,35.75,23.25,27.75,54.75,5.75
2025-12-03 16:10:00,SHORT,25649,25671.14,25651.75,HIGH,3,419.6,COILED,1.10,8,1.75,-8,23.75,27.00,17.00
2025-12-03 16:30:00,SHORT,25646.5,25662.89,25645.875,HIGH,3,419.6,CLEAN,0.06,-3.5,-4.75,-11.25,7.25,27.25,19.50
2025-12-03 16:50:00,SHORT,25646,25659.39,25643.5,HIGH,3,419.6,CLEAN,0.15,-6.25,-0.5,15.75,0.5,26.75,20.00
2025-12-04 13:00:00,LONG,25611,25590.70,25610.75,LOW,3,415.0,CLEAN,0.60,10.25,-11.25,-39.25,35,37.75,122.25
2025-12-04 13:55:00,LONG,25604,25584.20,25605.875,LOW,2,415.0,COILED,1.76,-71.5,-15,24,17,44.75,115.25
2025-12-05 13:10:00,SHORT,25725,25747.15,25728.625,HIGH,1,407.3,CLEAN,0.66,-10.25,-13.5,0.25,-4.75,47.25,45.00
2025-12-08 09:10:00,SHORT,25818.75,25831.92,25813.625,HIGH,1,395.9,CLEAN,0.36,13.5,77.25,180.75,141.75,225.00,42.00
2025-12-09 09:20:00,LONG,25600.25,25584.75,25605.375,LOW,1,387.5,CLEAN,0.59,11.75,48,98.25,122.5,132.75,40.25
2025-12-09 13:30:00,SHORT,25720.25,25740.00,25723.875,HIGH,3,387.5,COILED,1.19,7.75,10.5,29.25,45.5,49.50,15.50
2025-12-09 14:15:00,SHORT,25712.5,25732.00,25710.875,HIGH,2,387.5,COILED,1.77,16.75,9.5,33,40.5,44.00,9.50
2025-12-09 14:35:00,SHORT,25703.25,25725.00,25708.625,HIGH,1,387.5,CLEAN,0.35,-3.5,2,23,33.25,42.00,18.75
2025-12-10 13:50:00,LONG,25610.75,25598.12,25619,LOW,3,381.4,COILED,1.27,49,174,221.75,121.5,260.00,11.75
2025-12-22 11:50:00,SHORT,25706.25,25714.80,25699.125,HIGH,3,302.4,CLEAN,0.49,4.25,-9.75,25.75,5.75,33.25,21.00
2025-12-22 12:20:00,SHORT,25702,25717.05,25703.25,HIGH,2,302.4,CLEAN,0.15,-14,19.25,10.25,3.75,29.00,25.25
2025-12-22 12:40:00,SHORT,25693.75,25710.80,25697,HIGH,3,302.4,CLEAN,0.86,2.75,-2.5,-5.5,-5.25,20.75,33.50
2025-12-22 14:40:00,SHORT,25699.25,25718.30,25702,HIGH,2,302.4,CLEAN,0.33,17,5.5,0.25,-18.25,20.00,23.50
2025-12-22 15:00:00,SHORT,25691,25710.30,25696.5,HIGH,3,302.4,CLEAN,0.17,-4.5,-11.75,-14.75,-36.5,11.75,38.25
2025-12-22 16:15:00,SHORT,25697.5,25712.55,25697.25,HIGH,3,302.4,CLEAN,0.31,2.25,-11.25,-15,-38.5,4.00,41.25
2025-12-22 16:35:00,SHORT,25698.5,25706.05,25696.75,HIGH,3,302.4,CLEAN,-0.17,-16.5,-14.5,-20,-22.75,5.00,40.25
2025-12-22 16:55:00,SHORT,25700.25,25708.05,25697.75,HIGH,3,302.4,CLEAN,-0.34,-14,-14,-21.75,-22.75,5.25,38.50
2025-12-24 08:55:00,SHORT,25822.5,25837.15,25824.375,HIGH,3,269.9,CLEAN,-0.07,26.75,12.75,-6.25,-55.25,38.50,69.50
2025-12-24 10:50:00,SHORT,25827.75,25837.90,25824.125,HIGH,3,269.9,CLEAN,-0.18,-26.25,-48.75,-50.25,-75.25,8.75,82.75
2025-12-29 16:15:00,LONG,25743.5,25722.42,25736.25,LOW,1,266.6,CLEAN,0.18,1.5,-30,-28.5,-24,5.00,46.75
2026-01-12 08:45:00,SHORT,25742.5,25760.42,25746,HIGH,3,271.1,CLEAN,0.24,4.5,-128.25,-152.5,-227,22.75,231.50
2026-01-12 13:35:00,SHORT,25984.25,26002.92,25988.375,HIGH,1,271.1,CLEAN,0.44,6.5,-24.25,2,61.25,71.00,36.25
2026-01-12 13:55:00,SHORT,25978.5,25998.17,25983.375,HIGH,1,271.1,CLEAN,0.14,-17.5,-36.25,26.25,83,85.00,42.00
2026-01-12 15:35:00,SHORT,25982.25,26002.92,25989.5,HIGH,1,271.1,CLEAN,0.57,25,19.25,59.25,127.25,130.25,8.75
2026-01-16 16:25:00,LONG,25686.25,25665.90,25679.5,LOW,2,254.8,COILED,1.05,-5,-245.75,-300,-275.25,3.50,313.00
2026-01-22 16:35:00,SHORT,25645.5,25667.96,25654.125,HIGH,1,260.6,CLEAN,-0.02,47.25,24,6.75,-24.75,70.00,44.00
2026-02-02 14:15:00,SHORT,25933.75,25950.85,25936.375,HIGH,3,292.3,CLEAN,-0.33,44,54.5,57.5,-21.25,112.00,43.25
2026-02-16 08:30:00,SHORT,24873.25,24883.81,24865.875,HIGH,1,403.1,CLEAN,-0.82,46.25,115.75,178.25,118.75,202.50,0.25
2026-02-16 12:05:00,LONG,24720,24705.44,24727.5,LOW,4,403.1,CLEAN,-1.34,36.75,44,90,-70.25,122.50,102.50
2026-02-19 16:15:00,LONG,24852,24841.78,24860.625,LOW,2,398.3,CLEAN,-0.21,-16.5,2.75,20.25,40.25,84.00,26.00
2026-02-24 13:55:00,SHORT,25030,25058.05,25036.125,HIGH,3,415.0,CLEAN,-0.50,27.25,8.5,0,-13.5,41.50,42.00
2026-02-25 14:00:00,SHORT,25363.75,25381.24,25360.25,HIGH,1,424.4,CLEAN,-0.48,-10.75,-4.5,-20.25,42.25,89.00,131.00
2026-02-25 14:20:00,SHORT,25370.25,25386.49,25369.125,HIGH,1,424.4,CLEAN,-0.67,-3.25,7.25,-16.75,45,95.50,124.50
2026-02-25 15:00:00,SHORT,25368.25,25383.99,25369.875,HIGH,1,424.4,CLEAN,-0.76,11.5,-15.75,-13.5,55.5,93.50,126.50
2026-02-25 15:20:00,SHORT,25363,25384.99,25368,HIGH,1,424.4,CLEAN,-0.53,-24,-24,-5.25,70.5,88.25,131.75
2026-02-26 08:40:00,SHORT,25387.25,25411.28,25393.375,HIGH,2,426.3,CLEAN,0.12,9,120.75,397.75,442.75,525.50,28.00
2026-02-27 16:55:00,LONG,24952.75,24933.88,24955.625,LOW,1,418.4,CLEAN,0.37,-187.5,-210.75,-166.75,-131.75,0.00,317.25
2026-03-30 16:30:00,LONG,23096.5,23084.13,23098.375,LOW,1,381.1,CLEAN,-0.20,46.75,24.75,-56.75,270.25,273.25,135.00
2026-04-10 16:25:00,SHORT,25305.25,25317.92,25300.5,HIGH,2,371.2,CLEAN,-0.07,-27.75,351.25,360.75,231.5,400.75,32.75
2026-04-16 08:30:00,LONG,26428.75,26398.14,26417.75,LOW,1,380.4,CLEAN,-0.69,-10.25,-34.75,-54.75,40.75,135.25,153.25
2026-04-16 16:50:00,SHORT,26465.25,26479.11,26465.5,HIGH,1,380.4,CLEAN,0.06,-13.5,-11.75,-16.25,-23.25,20.00,32.50
2026-04-20 08:35:00,SHORT,26718,26737.43,26720.125,HIGH,1,371.5,CLEAN,-0.45,-51.75,-29.5,-10.75,44.25,149.25,109.75
2026-04-20 14:00:00,SHORT,26710,26734.43,26714.375,HIGH,1,371.5,CLEAN,-0.66,-21.25,-20.75,-39,-97.5,13.25,107.50
2026-04-27 12:30:00,LONG,27391.25,27362.75,27382.125,LOW,3,362.5,CLEAN,-0.83,6.75,46.75,33,35,63.50,12.25
2026-05-04 16:40:00,LONG,27749,27742.28,27756.5,LOW,1,311.1,CLEAN,-0.36,24.75,15,-3.75,62.25,84.25,17.25
2026-05-11 16:45:00,SHORT,29400.25,29419.54,29405,HIGH,2,326.9,CLEAN,0.07,-27.75,-50,-39.25,93,173.25,55.50
