swing_width,type,pivot_date,pivot_session,z_score,vol_bucket,confluence_count,confluence_bucket,retest_date,retest_session,break_win1_mean,break_win1_mean_bucket,break_win1_max,break_win1_max_bucket,break_win2_mean,break_win2_mean_bucket,break_win2_max,break_win2_max_bucket,break_win3_mean,break_win3_mean_bucket,break_win3_max,break_win3_max_bucket,break_win4_mean,break_win4_mean_bucket,break_win4_max,break_win4_max_bucket,break_win6_mean,break_win6_mean_bucket,break_win6_max,break_win6_max_bucket,rxn_3,rxn_6,rxn_12,rxn_24
3,HIGH,2026-09-07,RTH,-6.6321,NORMAL_LOW,0,0,2026-09-07,RTH,-5.2699,NORMAL_LOW,-5.2699,NORMAL_LOW,-5.2260,NORMAL_LOW,-5.1821,NORMAL_LOW,-5.3058,NORMAL_LOW,-5.1821,NORMAL_LOW,-5.3034,NORMAL_LOW,-5.1821,NORMAL_LOW,-5.0759,NORMAL_LOW,-4.5936,NORMAL_LOW,2.2500,17.7500,59.0000,39.0000
3,LOW,2026-09-07,RTH,-6.0331,NORMAL_LOW,1,1,2026-09-08,GLOBEX,-5.4654,NORMAL_LOW,-5.4654,NORMAL_LOW,-5.3807,NORMAL_LOW,-5.2959,NORMAL_LOW,-5.1183,NORMAL_LOW,-4.5936,NORMAL_LOW,-5.0008,NORMAL_LOW,-4.5936,NORMAL_LOW,-4.9861,NORMAL_LOW,-4.5936,NORMAL_LOW,-24.5000,-45.7500,-28.7500,-74.2500
3,HIGH,2026-09-07,RTH,-5.4654,NORMAL_LOW,1,1,2026-09-07,RTH,-4.9984,NORMAL_LOW,-4.9984,NORMAL_LOW,-4.9566,NORMAL_LOW,-4.9147,NORMAL_LOW,-4.7411,NORMAL_LOW,-4.3101,NORMAL_LOW,-4.6743,NORMAL_LOW,-4.3101,NORMAL_LOW,-4.4503,NORMAL_LOW,-3.8750,NORMAL_LOW,-8.5000,-6.7500,6.5000,53.2500
3,LOW,2025-03-20,RTH,-5.4649,NORMAL_LOW,2,2+,2025-03-20,RTH,-4.1518,NORMAL_LOW,-4.1518,NORMAL_LOW,-4.0418,NORMAL_LOW,-3.9319,NORMAL_LOW,-4.0600,NORMAL_LOW,-3.9319,NORMAL_LOW,-4.2144,NORMAL_LOW,-3.9319,NORMAL_LOW,-4.3009,NORMAL_LOW,-3.9319,NORMAL_LOW,38.2500,46.2500,51.0000,96.5000
3,HIGH,2026-07-03,RTH,-5.2753,NORMAL_LOW,2,2+,2026-07-05,GLOBEX,-4.9796,NORMAL_LOW,-4.9796,NORMAL_LOW,-4.8418,NORMAL_LOW,-4.7040,NORMAL_LOW,-4.9603,NORMAL_LOW,-4.7040,NORMAL_LOW,-4.8531,NORMAL_LOW,-4.5314,NORMAL_LOW,-4.5398,NORMAL_LOW,-3.8107,NORMAL_LOW,-9.5000,68.5000,49.7500,57.0000
3,HIGH,2026-07-03,RTH,-5.1974,NORMAL_LOW,4,2+,2026-07-06,GLOBEX,-4.1715,NORMAL_LOW,-4.1715,NORMAL_LOW,-4.2847,NORMAL_LOW,-4.1715,NORMAL_LOW,-4.2952,NORMAL_LOW,-4.1715,NORMAL_LOW,-4.1597,NORMAL_LOW,-3.7530,NORMAL_LOW,-3.9927,NORMAL_LOW,-3.6512,NORMAL_LOW,45.2500,43.2500,8.2500,12.2500
3,HIGH,2024-06-19,RTH,-4.9567,NORMAL_LOW,5,2+,2024-06-20,RTH,-3.7655,NORMAL_LOW,-3.7655,NORMAL_LOW,-3.8917,NORMAL_LOW,-3.7655,NORMAL_LOW,-3.7918,NORMAL_LOW,-3.5919,NORMAL_LOW,-3.7908,NORMAL_LOW,-3.5919,NORMAL_LOW,-3.7868,NORMAL_LOW,-3.5919,NORMAL_LOW,24.7500,22.7500,58.7500,209.0000
3,LOW,2025-09-01,RTH,-4.7419,NORMAL_LOW,3,2+,2025-09-01,GLOBEX,-3.4076,NORMAL_LOW,-3.4076,NORMAL_LOW,-3.4865,NORMAL_LOW,-3.4076,NORMAL_LOW,-3.6021,NORMAL_LOW,-3.4076,NORMAL_LOW,-3.6705,NORMAL_LOW,-3.4076,NORMAL_LOW,-3.8480,NORMAL_LOW,-3.4076,NORMAL_LOW,-4.2500,-22.7500,-17.2500,12.0000
3,LOW,2024-06-19,RTH,-4.7354,NORMAL_LOW,2,2+,2024-06-19,GLOBEX,-4.0180,NORMAL_LOW,-4.0180,NORMAL_LOW,-3.8050,NORMAL_LOW,-3.5919,NORMAL_LOW,-3.7992,NORMAL_LOW,-3.5919,NORMAL_LOW,-3.7497,NORMAL_LOW,-3.5919,NORMAL_LOW,-3.7215,NORMAL_LOW,-3.3739,NORMAL_LOW,3.2500,2.0000,2.2500,29.7500
3,LOW,2025-03-19,RTH,-4.6258,NORMAL_LOW,5,2+,2025-03-19,RTH,-4.2557,NORMAL_LOW,-4.2557,NORMAL_LOW,-4.1843,NORMAL_LOW,-4.1129,NORMAL_LOW,-3.9566,NORMAL_LOW,-3.5012,NORMAL_LOW,-3.8895,NORMAL_LOW,-3.5012,NORMAL_LOW,-3.8550,NORMAL_LOW,-3.1648,NORMAL_LOW,-17.7500,-1.2500,21.7500,275.0000
