swing_width,type,pivot_date,pivot_session,z_score,vol_bucket,retest_date,retest_session,rxn_3,rxn_6,rxn_12,rxn_24
3,HIGH,2026-09-07,RTH,-6.6321,NORMAL_LOW,2026-09-07,RTH,2.2500,17.7500,59.0000,39.0000
3,LOW,2026-09-07,RTH,-6.0331,NORMAL_LOW,2026-09-08,GLOBEX,-24.5000,-45.7500,-28.7500,-74.2500
3,HIGH,2026-09-07,RTH,-5.4654,NORMAL_LOW,2026-09-07,RTH,-8.5000,-6.7500,6.5000,53.2500
3,LOW,2025-03-20,RTH,-5.4649,NORMAL_LOW,2025-03-20,RTH,38.2500,46.2500,51.0000,96.5000
3,HIGH,2026-07-03,RTH,-5.2753,NORMAL_LOW,2026-07-05,GLOBEX,-9.5000,68.5000,49.7500,57.0000
3,HIGH,2026-07-03,RTH,-5.1974,NORMAL_LOW,2026-07-06,GLOBEX,45.2500,43.2500,8.2500,12.2500
3,HIGH,2024-06-19,RTH,-4.9567,NORMAL_LOW,2024-06-20,RTH,24.7500,22.7500,58.7500,209.0000
3,LOW,2025-09-01,RTH,-4.7419,NORMAL_LOW,2025-09-01,GLOBEX,-4.2500,-22.7500,-17.2500,12.0000
3,LOW,2024-06-19,RTH,-4.7354,NORMAL_LOW,2024-06-19,GLOBEX,3.2500,2.0000,2.2500,29.7500
3,LOW,2025-03-19,RTH,-4.6258,NORMAL_LOW,2025-03-19,RTH,-17.7500,-1.2500,21.7500,275.0000
3,LOW,2023-11-23,RTH,-4.6055,NORMAL_LOW,2023-11-29,GLOBEX,2.2500,20.2500,37.7500,38.5000
3,HIGH,2025-08-27,RTH,-4.5243,NORMAL_LOW,2025-08-28,GLOBEX,4.7500,-2.5000,-14.0000,4.0000
3,LOW,2023-11-23,RTH,-4.5202,NORMAL_LOW,2023-11-29,GLOBEX,2.2500,20.2500,37.7500,38.5000
3,HIGH,2025-03-20,RTH,-4.4914,NORMAL_LOW,2025-03-20,GLOBEX,-33.0000,-37.7500,-40.0000,-48.5000
3,LOW,2026-09-07,RTH,-4.4740,NORMAL_LOW,2026-09-07,GLOBEX,26.7500,20.2500,74.5000,29.0000
3,LOW,2024-06-19,RTH,-4.4699,NORMAL_LOW,2024-06-19,GLOBEX,3.2500,2.0000,2.2500,29.7500
3,HIGH,2026-06-19,RTH,-4.4558,NORMAL_LOW,2026-06-21,GLOBEX,3.7500,-16.5000,30.5000,63.7500
3,HIGH,2023-11-16,GLOBEX,-4.4001,NORMAL_LOW,2023-11-17,RTH,16.7500,-6.0000,-1.0000,-0.2500
3,HIGH,2024-12-18,RTH,-4.3972,NORMAL_LOW,2024-12-18,RTH,-8.7500,5.0000,9.5000,18.0000
3,LOW,2023-11-23,RTH,-4.3446,NORMAL_LOW,2023-11-29,GLOBEX,4.5000,25.0000,34.0000,33.7500
3,HIGH,2025-05-26,RTH,-4.2650,NORMAL_LOW,2025-05-26,RTH,-7.7500,-9.0000,-5.5000,25.7500
3,HIGH,2024-06-18,RTH,-4.2370,NORMAL_LOW,2024-06-18,RTH,20.7500,11.7500,57.0000,12.0000
3,HIGH,2024-06-19,RTH,-4.2318,NORMAL_LOW,2024-06-20,RTH,11.7500,8.2500,47.5000,177.7500
