StartDate,EndDate,OpenPrice,ClosePrice,ReturnDollars
2023-11-30,2023-12-05,16032.50,15912.00,-241.00
2024-02-29,2024-03-05,18030.25,17931.50,-197.50
2024-05-31,2024-06-05,18602.25,19077.25,950.00
2024-08-30,2024-09-04,19559.25,18957.75,-1203.00
2024-11-29,2024-12-04,20830.50,21537.50,1414.00
2025-02-28,2025-03-05,20590.25,20658.00,135.50
2025-05-30,2025-06-04,21382.00,21756.50,749.00
2025-06-30,2025-07-03,22871.75,23059.00,374.50
2025-07-31,2025-08-05,23747.25,23133.75,-1227.00
2025-08-29,2025-09-03,23652.00,23452.25,-399.50
2025-09-30,2025-10-03,25060.25,25244.75,369.00
2025-10-31,2025-11-05,26460.00,25995.00,-930.00
2025-11-28,2025-12-03,25358.00,25657.50,599.00
2025-12-31,2026-01-06,25678.75,25813.50,269.50
2026-01-30,2026-02-04,25834.25,24994.50,-1679.50
2026-02-27,2026-03-04,24815.25,25120.00,609.50
2026-03-31,2026-04-06,23381.75,24363.75,1964.00
2026-04-30,2026-05-05,27489.75,28135.75,1292.00
2026-05-29,2026-06-03,30383.00,30635.75,505.50
2026-06-30,2026-07-03,30047.50,29901.75,-291.50
2026-07-31,2026-08-05,28576.75,29607.25,2061.00
