TRADING JOURNAL — WEEKLY REPORT
Week ending : 2026-09-06  (2026-08-31 – 2026-09-06)
Generated   : 2026-09-06T22:00:01.003Z
============================================================

PERFORMANCE SUMMARY
----------------------------------------
Trading days  : 0
Total P&L     : +$0.00
Daily avg     : N/A
Win days      : 0 / 0 (N/A)


SETUP STATISTICS
----------------------------------------
10D_IB_MID_FADE_LONG           fired: 5 | wins: 0 | losses: 3 | expired: 2 | wr: 0% | avg -$32.66
10D_IB_MID_FADE_SHORT          fired: 3 | wins: 0 | losses: 3 | expired: 0 | wr: 0% | avg -$66.00
10D_IB_MID_FADE_SHORT_OVERNIGHT fired: 3 | wins: 2 | losses: 1 | expired: 0 | wr: 67% | avg +$88.00
3M_POC_FADE_LONG               fired: 4 | wins: 1 | losses: 2 | expired: 1 | wr: 33% | avg -$77.50
3M_POC_FADE_SHORT              fired: 4 | wins: 3 | losses: 0 | expired: 1 | wr: 100% | avg +$62.88
3M_POC_FADE_SHORT_OVERNIGHT    fired: 2 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$92.00
5D_OR_MID_FADE_LONG            fired: 4 | wins: 1 | losses: 3 | expired: 0 | wr: 25% | avg -$39.00
5D_OR_MID_FADE_SHORT           fired: 5 | wins: 2 | losses: 3 | expired: 0 | wr: 40% | avg -$5.80
BRACKET_BREAKOUT_SHORT         fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
CAM_R1_FADE_LONG               fired: 24 | wins: 13 | losses: 10 | expired: 1 | wr: 57% | avg +$13.35
CAM_R1_FADE_SHORT              fired: 20 | wins: 4 | losses: 13 | expired: 3 | wr: 24% | avg -$31.25
CAM_R2_FADE_LONG               fired: 13 | wins: 2 | losses: 10 | expired: 1 | wr: 17% | avg -$45.69
CAM_R2_FADE_SHORT              fired: 15 | wins: 12 | losses: 1 | expired: 2 | wr: 92% | avg +$56.80
CAM_R3_FADE_LONG               fired: 6 | wins: 1 | losses: 5 | expired: 0 | wr: 17% | avg -$51.00
CAM_R3_FADE_SHORT              fired: 6 | wins: 5 | losses: 1 | expired: 0 | wr: 83% | avg +$55.33
CAM_R4_FADE_LONG               fired: 4 | wins: 1 | losses: 3 | expired: 0 | wr: 25% | avg -$36.00
CAM_R4_FADE_SHORT              fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg +$4.00
CAM_S1_FADE_LONG               fired: 8 | wins: 6 | losses: 2 | expired: 0 | wr: 75% | avg +$41.25
CAM_S1_FADE_SHORT              fired: 6 | wins: 2 | losses: 4 | expired: 0 | wr: 33% | avg -$26.67
CAM_S2_FADE_LONG_TRAIL         fired: 4 | wins: 4 | losses: 0 | expired: 0 | wr: 100% | avg +$92.00
CAM_S2_FADE_SHORT              fired: 8 | wins: 4 | losses: 4 | expired: 0 | wr: 50% | avg -$1.00
CAM_S3_FADE_LONG               fired: 8 | wins: 7 | losses: 1 | expired: 0 | wr: 88% | avg +$65.75
CAM_S3_FADE_SHORT              fired: 5 | wins: 0 | losses: 5 | expired: 0 | wr: 0% | avg -$76.00
