TRADING JOURNAL — WEEKLY REPORT
Week ending : 2026-09-13  (2026-09-07 – 2026-09-13)
Generated   : 2026-09-13T22:00:01.393Z
============================================================

PERFORMANCE SUMMARY
----------------------------------------
Trading days  : 0
Total P&L     : +$0.00
Daily avg     : N/A
Win days      : 0 / 0 (N/A)


SETUP STATISTICS
----------------------------------------
10D_IB_MID_FADE_LONG           fired: 4 | wins: 2 | losses: 1 | expired: 1 | wr: 67% | avg +$33.27
10D_IB_MID_FADE_SHORT          fired: 3 | wins: 1 | losses: 2 | expired: 0 | wr: 33% | avg -$26.00
10D_IB_MID_FADE_SHORT_OVERNIGHT fired: 4 | wins: 1 | losses: 2 | expired: 1 | wr: 33% | avg -$20.88
2D_POC_FADE_LONG               fired: 6 | wins: 4 | losses: 1 | expired: 1 | wr: 80% | avg +$5.58
2D_POC_FADE_SHORT              fired: 7 | wins: 6 | losses: 1 | expired: 0 | wr: 86% | avg +$46.57
3M_POC_FADE_LONG               fired: 5 | wins: 4 | losses: 0 | expired: 1 | wr: 100% | avg +$66.80
3M_POC_FADE_SHORT              fired: 5 | wins: 3 | losses: 2 | expired: 0 | wr: 60% | avg -$22.00
3M_POC_FADE_SHORT_OVERNIGHT    fired: 4 | wins: 1 | losses: 2 | expired: 1 | wr: 33% | avg -$2.00
5D_OR_MID_FADE_LONG            fired: 5 | wins: 3 | losses: 1 | expired: 1 | wr: 75% | avg +$38.90
5D_OR_MID_FADE_SHORT           fired: 2 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$76.00
A_UP_STRONG                    fired: 5 | wins: 0 | losses: 3 | expired: 2 | wr: 0% | avg -$84.90
CAM_R1_FADE_LONG               fired: 4 | wins: 1 | losses: 3 | expired: 0 | wr: 25% | avg -$36.00
CAM_R1_FADE_SHORT              fired: 5 | wins: 4 | losses: 1 | expired: 0 | wr: 80% | avg +$61.60
CAM_R2_FADE_LONG               fired: 2 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$50.00
CAM_R2_FADE_SHORT              fired: 5 | wins: 5 | losses: 0 | expired: 0 | wr: 100% | avg +$94.00
CAM_R3_FADE_LONG               fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
CAM_R3_FADE_SHORT              fired: 3 | wins: 3 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
CAM_R4_FADE_SHORT              fired: 2 | wins: 2 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
CAM_S1_FADE_LONG               fired: 2 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$82.00
CAM_S1_FADE_SHORT              fired: 4 | wins: 2 | losses: 2 | expired: 0 | wr: 50% | avg -$1.00
CAM_S2_FADE_LONG_TRAIL         fired: 12 | wins: 6 | losses: 6 | expired: 0 | wr: 50% | avg -$6.67
CAM_S2_FADE_SHORT              fired: 8 | wins: 4 | losses: 4 | expired: 0 | wr: 50% | avg -$0.25
CAM_S3_FADE_LONG               fired: 11 | wins: 3 | losses: 8 | expired: 0 | wr: 27% | avg -$15.09
CAM_S3_FADE_SHORT              fired: 10 | wins: 4 | losses: 5 | expired: 1 | wr: 44% | avg +$2.15
CAM_S4_FADE_LONG               fired: 8 | wins: 5 | losses: 3 | expired: 0 | wr: 63% | avg +$22.50
CAM_S4_FADE_SHORT              fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$1.00
C_PAIRED_LONG                  fired: 5 | wins: 0 | losses: 3 | expired: 2 | wr: 0% | avg -$84.90
C_PAIRED_SHORT                 fired: 5 | wins: 3 | losses: 0 | expired: 2 | wr: 100% | avg +$4.90
C_STANDALONE_UP                fired: 1 | wins: 0 | losses: 0 | expired: 1 | wr: unresolved | avg -$223.00
FAILED_AUCTION_LONG            fired: 8 | wins: 3 | losses: 3 | expired: 2 | wr: 50% | avg -$15.75
FAILED_SWEEP_REVERSAL_LONG     fired: 2 | wins: 0 | losses: 1 | expired: 1 | wr: 0% | avg -$34.75
FAILED_SWEEP_REVERSAL_SHORT    fired: 3 | wins: 0 | losses: 1 | expired: 2 | wr: 0% | avg -$8.33
FLOOR_PIVOT_FADE_LONG          fired: 4 | wins: 1 | losses: 2 | expired: 1 | wr: 33% | avg -$7.75
FLOOR_PIVOT_FADE_SHORT         fired: 3 | wins: 2 | losses: 1 | expired: 0 | wr: 67% | avg +$27.33
FLOOR_R1_FADE_SHORT_TRAIL      fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$80.00
FLOOR_R2_FADE_LONG             fired: 2 | wins: 1 | losses: 0 | expired: 1 | wr: 100% | avg +$43.50
FLOOR_R2_FADE_SHORT            fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$1.00
FLOOR_R3_FADE_LONG             fired: 2 | wins: 0 | losses: 1 | expired: 1 | wr: 0% | avg -$149.00
FLOOR_R3_FADE_SHORT            fired: 4 | wins: 4 | losses: 0 | expired: 0 | wr: 100% | avg +$83.50
FLOOR_S1_FADE_LONG_TRAIL       fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$56.00
FLOOR_S1_FADE_SHORT            fired: 2 | wins: 1 | losses: 1 | expired: 0 | wr: 50% | avg -$1.00
FLOOR_S2_FADE_LONG             fired: 9 | wins: 4 | losses: 4 | expired: 1 | wr: 50% | avg -$3.50
FLOOR_S2_FADE_SHORT            fired: 7 | wins: 3 | losses: 4 | expired: 0 | wr: 43% | avg -$37.43
FLOOR_S3_FADE_LONG             fired: 8 | wins: 5 | losses: 3 | expired: 0 | wr: 63% | avg +$22.50
FLOOR_S3_FADE_SHORT            fired: 3 | wins: 1 | losses: 2 | expired: 0 | wr: 33% | avg -$96.67
GLOBEX_FLUSH_LONG              fired: 1 | wins: 0 | losses: 0 | expired: 1 | wr: unresolved | avg -$2.00
GLOBEX_FLUSH_REVERSAL_LONG     fired: 1 | wins: 0 | losses: 0 | expired: 1 | wr: unresolved | avg -$2.00
GLOBEX_FLUSH_SHORT             fired: 2 | wins: 0 | losses: 0 | expired: 2 | wr: unresolved | avg -$2.00
GLOBEX_VWAP_FADE_LONG          fired: 18 | wins: 9 | losses: 9 | expired: 0 | wr: 50% | avg -$21.67
GLOBEX_VWAP_FADE_SHORT         fired: 18 | wins: 5 | losses: 12 | expired: 1 | wr: 29% | avg -$25.78
GLOBEX_VWAP_MAGNET_LONG        fired: 6 | wins: 1 | losses: 5 | expired: 0 | wr: 17% | avg -$35.33
GLOBEX_VWAP_MAGNET_SHORT       fired: 7 | wins: 3 | losses: 4 | expired: 0 | wr: 43% | avg -$9.43
IB_HIGH_FADE_LONG              fired: 2 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$52.00
IB_HIGH_FADE_SHORT             fired: 9 | wins: 6 | losses: 0 | expired: 0 | wr: 100% | avg +$56.11
IB_LOW_FADE_LONG               fired: 9 | wins: 4 | losses: 1 | expired: 2 | wr: 80% | avg +$34.72
IB_LOW_FADE_SHORT              fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
IB_MID_SCALP_FADE_LONG         fired: 11 | wins: 4 | losses: 6 | expired: 1 | wr: 40% | avg +$8.18
IB_MID_SCALP_FADE_SHORT        fired: 8 | wins: 1 | losses: 2 | expired: 2 | wr: 33% | avg +$8.00
MONTHLY_OPEN_FADE_LONG         fired: 2 | wins: 2 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
MONTHLY_OPEN_FADE_LONG_OVERNIGHT fired: 3 | wins: 1 | losses: 2 | expired: 0 | wr: 33% | avg -$2.00
MONTHLY_OPEN_FADE_SHORT        fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$66.00
MONTHLY_OPEN_SWEEP_REVERSAL_SHORT_OVERNIGHT fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$92.00
MONTHLY_VWAP_FADE_LONG         fired: 2 | wins: 2 | losses: 0 | expired: 0 | wr: 100% | avg +$198.00
MONTHLY_VWAP_FADE_SHORT_OVERNIGHT fired: 4 | wins: 1 | losses: 3 | expired: 0 | wr: 25% | avg -$24.50
MPP_FADE_LONG                  fired: 3 | wins: 2 | losses: 0 | expired: 1 | wr: 100% | avg +$63.17
MPP_FADE_SHORT_OVERNIGHT       fired: 4 | wins: 1 | losses: 3 | expired: 0 | wr: 25% | avg -$24.50
ONH_FADE_LONG                  fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
ONL_FADE_LONG                  fired: 5 | wins: 4 | losses: 1 | expired: 0 | wr: 80% | avg +$56.40
ONL_FADE_SHORT                 fired: 3 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$14.50
OPEN_DRIVE_LONG                fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$72.00
OR10_HIGH_FADE_LONG            fired: 10 | wins: 3 | losses: 7 | expired: 0 | wr: 30% | avg -$27.20
OR10_HIGH_FADE_SHORT           fired: 13 | wins: 8 | losses: 4 | expired: 1 | wr: 67% | avg +$27.69
OR10_LOW_FADE_LONG             fired: 3 | wins: 1 | losses: 2 | expired: 0 | wr: 33% | avg -$26.00
OR10_LOW_FADE_SHORT            fired: 1 | wins: 0 | losses: 1 | expired: 0 | wr: 0% | avg -$76.00
OR10_MID_FADE_LONG             fired: 8 | wins: 3 | losses: 3 | expired: 2 | wr: 50% | avg +$8.25
OR10_MID_FADE_SHORT            fired: 8 | wins: 6 | losses: 1 | expired: 1 | wr: 86% | avg +$46.63
OR15_HIGH_FADE_LONG            fired: 14 | wins: 8 | losses: 6 | expired: 0 | wr: 57% | avg +$15.14
OR15_HIGH_FADE_SHORT           fired: 8 | wins: 7 | losses: 1 | expired: 0 | wr: 88% | avg +$64.75
OR15_LOW_FADE_LONG             fired: 1 | wins: 1 | losses: 0 | expired: 0 | wr: 100% | avg +$74.00
OR15_LOW_FADE_SHORT            fired: 2 | wins: 0 | losses: 2 | expired: 0 | wr: 0% | avg -$76.00
OR15_MID_FADE_LONG             fired: 13 | wins: 8 | losses: 4 | expired: 1 | wr: 67% | avg +$30.67
OR15_MID_FADE_SHORT            fired: 5 | wins: 3 | losses: 1 | expired: 1 | wr: 75% | avg +$31.10
