Setup|Regime|Trades|PnL|EV|AvgTarget|AvgStop
OR_LOW_FADE_SHORT|Edge|23|493.40|21.45|37.2|55.0
PD_VAH_FADE_SHORT|Middle 50%|51|-1073.00|-21.04|39.4|67.0
PD_VAH_FADE_SHORT|Edge|88|2883.00|32.76|39.2|67.4
OR_MID_AFTER_IB_FADE_LONG|Middle 50%|42|36.00|0.86|30.9|59.3
OR_MID_AFTER_IB_FADE_LONG|Edge|75|-433.00|-5.77|30.6|61.3
IB_LOW_FADE_LONG|Middle 50%|88|-88.08|-1.00|34.4|68.3
IB_LOW_FADE_LONG|Edge|148|-1563.92|-10.57|34.1|67.0
IB_HIGH_FADE_SHORT|Middle 50%|88|1834.84|20.85|30.5|52.4
IB_HIGH_FADE_SHORT|Edge|196|562.04|2.87|30.6|52.6
IB_BULLISH|Middle 50%|78|-6155.00|-78.91|128.9|122.7
IB_BULLISH|Edge|94|2730.00|29.04|83.7|97.7
IB_BEARISH|Middle 50%|63|5460.00|86.67|148.7|145.8
IB_BEARISH|Edge|185|-529.00|-2.86|103.7|95.7
OR_LOW_FADE_LONG|Middle 50%|112|2272.92|20.29|36.3|69.4
OR_LOW_FADE_LONG|Edge|211|-1453.36|-6.89|36.1|69.4
VWAP_MAGNET_SHORT|Middle 50%|254|102.00|0.40|20.0|30.0
VWAP_MAGNET_SHORT|Edge|351|828.00|2.36|19.1|28.6
OR_HIGH_FADE_SHORT|Middle 50%|101|1296.00|12.83|41.4|75.4
OR_HIGH_FADE_SHORT|Edge|218|-3445.00|-15.80|41.2|75.7
MONTHLY_OPEN_FADE_LONG|Middle 50%|22|2854.24|129.74|68.4|92.6
MONTHLY_OPEN_FADE_LONG|Edge|28|1635.68|58.42|68.4|92.6
WEEKLY_OPEN_FADE_LONG|Middle 50%|29|265.76|9.16|60.1|100.2
WEEKLY_OPEN_FADE_LONG|Edge|59|4140.68|70.18|60.1|100.2
ONL_FADE_LONG|Middle 50%|82|-3011.56|-36.73|57.0|118.0
ONL_FADE_LONG|Edge|135|-338.20|-2.51|57.4|118.5
ONH_FADE_SHORT|Middle 50%|78|7154.00|91.72|57.8|94.0
ONH_FADE_SHORT|Edge|150|1757.00|11.71|57.8|94.0
ONL_FADE_SHORT|Edge|24|-301.60|-12.57|56.4|116.2
CAM_R3_FADE_SHORT|Middle 50%|50|-1325.88|-26.52|39.3|78.1
CAM_R3_FADE_SHORT|Edge|105|2213.96|21.09|39.3|78.1
PD_SESSION_MID_FADE_LONG|Middle 50%|42|-1542.00|-36.71|48.5|82.3
PD_SESSION_MID_FADE_LONG|Edge|83|275.00|3.31|48.6|82.4
OPEN_DRIVE_LONG|Middle 50%|23|-2232.00|-97.04|81.4|71.4
OPEN_DRIVE_LONG|Edge|38|1114.00|29.32|58.6|53.0
WEEKLY_VWAP_FADE_SHORT|Middle 50%|58|841.20|14.50|41.0|67.3
WEEKLY_VWAP_FADE_SHORT|Edge|91|-3352.40|-36.84|41.1|67.4
PD_IB_MID_FADE_LONG|Middle 50%|40|-50.00|-1.25|29.1|56.3
PD_IB_MID_FADE_LONG|Edge|71|-578.00|-8.14|29.4|56.3
CAM_S2_FADE_SHORT|Middle 50%|31|863.00|27.84|41.9|71.6
CAM_S2_FADE_SHORT|Edge|47|34.00|0.72|42.5|71.6
PD_SESSION_MID_FADE_SHORT|Middle 50%|37|2734.00|73.89|48.5|82.1
PD_SESSION_MID_FADE_SHORT|Edge|55|83.00|1.51|48.7|82.2
CAM_R1_FADE_LONG|Middle 50%|35|-2288.52|-65.39|37.1|65.9
CAM_R1_FADE_LONG|Edge|85|-1175.12|-13.82|37.2|65.9
IB_MID_SCALP_FADE_SHORT|Middle 50%|53|262.20|4.95|30.2|56.5
IB_MID_SCALP_FADE_SHORT|Edge|108|-1039.60|-9.63|30.0|55.9
WR1_FADE_SHORT|Edge|42|-383.80|-9.14|38.5|61.6
CAM_S4_FADE_LONG|Middle 50%|43|-4559.08|-106.03|40.7|86.9
CAM_S4_FADE_LONG|Edge|85|2485.56|29.24|40.9|87.5
CAM_S1_FADE_SHORT|Middle 50%|42|654.20|15.58|40.6|76.4
CAM_S1_FADE_SHORT|Edge|58|-929.80|-16.03|41.0|76.5
CAM_R2_FADE_SHORT|Middle 50%|50|2824.00|56.48|37.5|69.5
CAM_R2_FADE_SHORT|Edge|92|-246.00|-2.67|37.5|69.5
